image_id,file_name,pfa,selected_policy,annotations,target_pixels,background_pixels,candidate_pd,raw_pd,lowrank_pd,candidate_empirical_pfa,raw_empirical_pfa,lowrank_empirical_pfa,delta_vs_raw,delta_vs_lowrank
331,000331.jpg,0.0003,gate,2,2641,95103,0.43089738735327526,0.2805755395683453,0.0015145778114350624,0.0,0.0,0.0,0.15032184778492996,0.4293828095418402
331,000331.jpg,0.001,gate,2,2641,95103,0.5694812570995835,0.4218099204846649,0.003786444528587656,0.0,0.0,0.0016613566343858764,0.1476713366149186,0.5656948125709959
331,000331.jpg,0.003,gate,2,2641,95103,0.6773949261643317,0.4899659219992427,0.004922377887163953,0.0,2.1029830815011092e-05,0.006855724845693616,0.187429004165089,0.6724725482771677
331,000331.jpg,0.01,gate,2,2641,95103,0.8443771298750473,0.5978795910639909,0.011737978038621734,0.0,0.0011671556102331156,0.012365540519226522,0.2464975388110564,0.8326391518364256
339,000339.jpg,1e-05,raw,2,793,153873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,000339.jpg,3e-05,raw,2,793,153873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,000339.jpg,0.0001,raw,2,793,153873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,000339.jpg,0.0003,gate,2,793,153873,0.489281210592686,0.2786885245901639,0.0025220680958385876,0.0,0.0,0.0,0.21059268600252207,0.4867591424968474
339,000339.jpg,0.001,gate,2,793,153873,0.6960907944514502,0.43883984867591425,0.007566204287515763,0.0,7.148752542681302e-05,0.0014232516425883683,0.2572509457755359,0.6885245901639344
339,000339.jpg,0.003,gate,2,793,153873,0.9117276166456494,0.49936948297604034,0.008827238335435058,0.0002729523698114679,0.0003054466995509284,0.006752321719859885,0.41235813366960905,0.9029003783102143
339,000339.jpg,0.01,gate,2,793,153873,0.9760403530895334,0.5838587641866331,0.017654476670870115,0.0022096144222833116,0.0035418819416011904,0.013017228493627861,0.39218158890290034,0.9583858764186632
341,000341.jpg,1e-05,raw,3,1783,202571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,000341.jpg,3e-05,raw,3,1783,202571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,000341.jpg,0.0001,raw,3,1783,202571,0.0,0.0,0.0011217049915872126,0.0,0.0,0.0,0.0,-0.0011217049915872126
341,000341.jpg,0.0003,gate,3,1783,202571,0.5507571508693214,0.2832305103757712,0.0033651149747616375,0.0,0.0,0.0,0.26752664049355024,0.5473920358945598
341,000341.jpg,0.001,gate,3,1783,202571,0.7812675266404936,0.4834548513740886,0.003925967470555244,3.9492326147375485e-05,8.885773383159485e-05,0.001535264178979222,0.297812675266405,0.7773415591699383
341,000341.jpg,0.003,gate,3,1783,202571,0.9125070106561974,0.5457094784071789,0.005608524957936063,0.0008688311752422607,0.00048378099530534975,0.007049380217306524,0.36679753224901857,0.9068984856982614
341,000341.jpg,0.01,gate,3,1783,202571,0.9545709478407179,0.6561974200785193,0.016264722378014584,0.004561363670021869,0.0035148170271164184,0.013076896495549708,0.2983735277621986,0.9383062254627034
349,000349.jpg,1e-05,raw,1,549,137460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,000349.jpg,3e-05,raw,1,549,137460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,000349.jpg,0.0001,raw,1,549,137460,0.0,0.0,0.0,0.0,0.0,8.729812309035356e-05,0.0,0.0
349,000349.jpg,0.0003,gate,1,549,137460,0.0,0.0,0.0,0.0,0.0,0.0017314127746253455,0.0,0.0
349,000349.jpg,0.001,gate,1,549,137460,0.0,0.0,0.0018214936247723133,0.0,0.0,0.0029390368107085696,0.0,-0.0018214936247723133
349,000349.jpg,0.003,gate,1,549,137460,0.0,0.0,0.0018214936247723133,3.637421795431398e-05,0.0,0.004452204277608032,0.0,-0.0018214936247723133
