annotation_id,image_id,file_name,pfa,selected_policy,target_pixels,candidate_pd,raw_pd,lowrank_pd,delta_vs_raw,delta_vs_lowrank
16,59,000059.jpg,0.001,gate,337,0.40059347181008903,0.26409495548961426,0.0,0.13649851632047477,0.40059347181008903
17,59,000059.jpg,0.001,gate,311,0.4694533762057878,0.31511254019292606,0.003215434083601286,0.15434083601286175,0.4662379421221865
18,59,000059.jpg,0.001,gate,125,0.168,0.152,0.0,0.016000000000000014,0.168
19,59,000059.jpg,0.001,gate,336,0.6071428571428571,0.37202380952380953,0.0,0.23511904761904756,0.6071428571428571
20,59,000059.jpg,0.001,gate,137,0.2773722627737226,0.23357664233576642,0.0,0.043795620437956206,0.2773722627737226
16,59,000059.jpg,0.003,gate,337,0.6824925816023739,0.34124629080118696,0.008902077151335312,0.34124629080118696,0.6735905044510386
17,59,000059.jpg,0.003,gate,311,0.7331189710610932,0.3633440514469453,0.01607717041800643,0.36977491961414793,0.7170418006430869
18,59,000059.jpg,0.003,gate,125,0.296,0.184,0.0,0.11199999999999999,0.296
19,59,000059.jpg,0.003,gate,336,0.8184523809523809,0.44047619047619047,0.0,0.37797619047619047,0.8184523809523809
20,59,000059.jpg,0.003,gate,137,0.3795620437956204,0.2773722627737226,0.0072992700729927005,0.1021897810218978,0.3722627737226277
16,59,000059.jpg,0.01,gate,337,0.9050445103857567,0.4362017804154303,0.02967359050445104,0.46884272997032644,0.8753709198813057
17,59,000059.jpg,0.01,gate,311,0.9742765273311897,0.47266881028938906,0.022508038585209004,0.5016077170418007,0.9517684887459807
18,59,000059.jpg,0.01,gate,125,0.472,0.288,0.048,0.184,0.424
19,59,000059.jpg,0.01,gate,336,0.9404761904761905,0.5625,0.011904761904761904,0.37797619047619047,0.9285714285714286
20,59,000059.jpg,0.01,gate,137,0.656934306569343,0.35766423357664234,0.021897810218978103,0.2992700729927007,0.635036496350365
21,61,000061.jpg,1e-05,raw,480,0.0,0.0,0.0,0.0,0.0
22,61,000061.jpg,1e-05,raw,628,0.0,0.0,0.0,0.0,0.0
23,61,000061.jpg,1e-05,raw,316,0.0,0.0,0.0,0.0,0.0
24,61,000061.jpg,1e-05,raw,821,0.0,0.0,0.0,0.0,0.0
21,61,000061.jpg,3e-05,raw,480,0.0,0.0,0.0,0.0,0.0
22,61,000061.jpg,3e-05,raw,628,0.0,0.0,0.0,0.0,0.0
23,61,000061.jpg,3e-05,raw,316,0.0,0.0,0.0,0.0,0.0
24,61,000061.jpg,3e-05,raw,821,0.0,0.0,0.001218026796589525,0.0,-0.001218026796589525
21,61,000061.jpg,0.0001,raw,480,0.45208333333333334,0.45208333333333334,0.0,0.0,0.45208333333333334
22,61,000061.jpg,0.0001,raw,628,0.49203821656050956,0.49203821656050956,0.0,0.0,0.49203821656050956
23,61,000061.jpg,0.0001,raw,316,0.4588607594936709,0.4588607594936709,0.0031645569620253164,0.0,0.45569620253164556
24,61,000061.jpg,0.0001,raw,821,0.5724725943970768,0.5724725943970768,0.001218026796589525,0.0,0.5712545676004872
21,61,000061.jpg,0.0003,gate,480,0.6291666666666667,0.6458333333333334,0.0020833333333333333,-0.01666666666666672,0.6270833333333333
22,61,000061.jpg,0.0003,gate,628,0.6735668789808917,0.7213375796178344,0.0015923566878980893,-0.047770700636942665,0.6719745222929936
23,61,000061.jpg,0.0003,gate,316,0.6265822784810127,0.6455696202531646,0.006329113924050633,-0.01898734177215189,0.620253164556962
