method,rank,alpha,gate_percentile,subset,variant,clutter_attenuation_db,target_loss_db,target_retention_ratio,score_mean,pfa_target,threshold,pd,empirical_pfa,target_count,bg_count,path,image_index
oracle_blend,5,0.5,,simMed,oracle_blend_k5_a0.5,10.32349819528482,2.4498969625101656,0.5688664271869527,5.2698309975779,0.001,324.3385490063278,0.7441860465116279,0.001007741285328203,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.5,,simMed,oracle_blend_k5_a0.5,10.32349819528482,2.4498969625101656,0.5688664271869527,5.2698309975779,0.003,54.7892055094743,1.0,0.0030079550486311513,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.5,,simMed,oracle_blend_k5_a0.5,10.32349819528482,2.4498969625101656,0.5688664271869527,5.2698309975779,0.01,21.2110761005199,1.0,0.010001068816514741,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.75,,simMed,oracle_blend_k5_a0.75,8.76133120382094,3.3622085779105078,0.4610830339836908,7.5511550325183645,1e-05,8171.908699281682,0.046511627906976744,1.526880735345762e-05,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.75,,simMed,oracle_blend_k5_a0.75,8.76133120382094,3.3622085779105078,0.4610830339836908,7.5511550325183645,3e-05,5894.598763335118,0.09302325581395349,3.053761470691524e-05,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.75,,simMed,oracle_blend_k5_a0.75,8.76133120382094,3.3622085779105078,0.4610830339836908,7.5511550325183645,0.0001,3981.4784379761136,0.18604651162790697,0.00010688165147420336,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.75,,simMed,oracle_blend_k5_a0.75,8.76133120382094,3.3622085779105078,0.4610830339836908,7.5511550325183645,0.0003,1864.4601189117711,0.32558139534883723,0.00030537614706915243,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.75,,simMed,oracle_blend_k5_a0.75,8.76133120382094,3.3622085779105078,0.4610830339836908,7.5511550325183645,0.001,321.54095565505935,0.7441860465116279,0.001007741285328203,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.75,,simMed,oracle_blend_k5_a0.75,8.76133120382094,3.3622085779105078,0.4610830339836908,7.5511550325183645,0.003,102.4008885632067,0.9534883720930233,0.0030079550486311513,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.75,,simMed,oracle_blend_k5_a0.75,8.76133120382094,3.3622085779105078,0.4610830339836908,7.5511550325183645,0.01,46.19612341999273,1.0,0.010001068816514741,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,1.0,,simMed,oracle_blend_k5_a1,7.22613762068999,3.714524677454696,0.4251552362492702,10.753076739369304,1e-05,8143.263063957227,0.046511627906976744,1.526880735345762e-05,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,1.0,,simMed,oracle_blend_k5_a1,7.22613762068999,3.714524677454696,0.4251552362492702,10.753076739369304,3e-05,5870.939176578246,0.09302325581395349,3.053761470691524e-05,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,1.0,,simMed,oracle_blend_k5_a1,7.22613762068999,3.714524677454696,0.4251552362492702,10.753076739369304,0.0001,3953.1533001003054,0.18604651162790697,0.00010688165147420336,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,1.0,,simMed,oracle_blend_k5_a1,7.22613762068999,3.714524677454696,0.4251552362492702,10.753076739369304,0.0003,1838.9273792824267,0.32558139534883723,0.00030537614706915243,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,1.0,,simMed,oracle_blend_k5_a1,7.22613762068999,3.714524677454696,0.4251552362492702,10.753076739369304,0.001,363.18470159348675,0.7441860465116279,0.001007741285328203,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,1.0,,simMed,oracle_blend_k5_a1,7.22613762068999,3.714524677454696,0.4251552362492702,10.753076739369304,0.003,161.71681086626236,0.8604651162790697,0.0030079550486311513,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,1.0,,simMed,oracle_blend_k5_a1,7.22613762068999,3.714524677454696,0.4251552362492702,10.753076739369304,0.01,80.47429049792636,0.9767441860465116,0.010001068816514741,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,50.0,simMed,oracle_gate_k5_p50,8.938118691179625,-2.943911861246799e-06,1.0000006778609865,7.249943767992378,1e-05,8259.666061916438,0.046511627906976744,1.526880735345762e-05,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,50.0,simMed,oracle_gate_k5_p50,8.938118691179625,-2.943911861246799e-06,1.0000006778609865,7.249943767992378,3e-05,5966.361670191444,0.09302325581395349,3.053761470691524e-05,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,50.0,simMed,oracle_gate_k5_p50,8.938118691179625,-2.943911861246799e-06,1.0000006778609865,7.249943767992378,0.0001,4068.4319949616593,0.20930232558139536,0.00010688165147420336,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,50.0,simMed,oracle_gate_k5_p50,8.938118691179625,-2.943911861246799e-06,1.0000006778609865,7.249943767992378,0.0003,1913.6526588375905,0.32558139534883723,0.00030537614706915243,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
