phase,asset,method,pfa_target,frames,alarm_budget_per_frame,finite_grid_alarm_rate,target_count,target_detections,pd_pooled,pd_macro,background_count,false_alarms,realized_pfa,pfa_cp95_upper
target_bearing,simMed_test.mat,amf_steering_bank,3e-05,105,2,3.0517578125e-05,3943,169,0.04286076591427847,0.051607672874468255,6877337,41,5.961609849859037e-06,7.735170305994873e-06
target_bearing,simMed_test.mat,amf_steering_bank,0.0001,105,7,0.0001068115234375,3943,459,0.11640882576718235,0.13228326577057553,6877337,276,4.013181264783157e-05,4.433864383583802e-05
target_bearing,simMed_test.mat,amf_steering_bank,0.0003,105,20,0.00030517578125,3943,1034,0.26223687547552627,0.29055813197233626,6877337,1066,0.00015500185609633495,0.00016304087749195782
target_bearing,simMed_test.mat,amf_steering_bank,0.001,105,66,0.001007080078125,3943,2164,0.5488206949023586,0.5816965225096181,6877337,4766,0.0006930007937665407,0.0007097356426575492
target_bearing,simMed_test.mat,amf_steering_bank,0.003,105,197,0.0030059814453125,3943,3237,0.820948516358103,0.8205234528788178,6877337,17448,0.002537028503910743,0.002568808559188434
target_bearing,simMed_test.mat,amf_steering_bank,0.01,105,656,0.010009765625,3943,3502,0.8881562262236875,0.8777629927744943,6877337,65378,0.009506295823514246,0.009567383617226945
target_bearing,simMed_test.mat,anmf_steering_bank,1e-05,105,1,1.52587890625e-05,3943,12,0.003043367993913264,0.0037373306116402676,6877337,93,1.3522676000899767e-05,1.6066577842442144e-05
target_bearing,simMed_test.mat,anmf_steering_bank,3e-05,105,2,3.0517578125e-05,3943,21,0.005325893989348212,0.006098007666805671,6877337,189,2.748156735666727e-05,3.100422295534944e-05
target_bearing,simMed_test.mat,anmf_steering_bank,0.0001,105,7,0.0001068115234375,3943,62,0.015724067968551865,0.017941462947370212,6877337,673,9.785764460866176e-05,0.00010429349140109565
target_bearing,simMed_test.mat,anmf_steering_bank,0.0003,105,20,0.00030517578125,3943,166,0.042099923915800155,0.045319326088247416,6877337,1934,0.00028121349877139945,0.00029196011659185517
target_bearing,simMed_test.mat,anmf_steering_bank,0.001,105,66,0.001007080078125,3943,399,0.10119198579761603,0.10545689020972865,6877337,6531,0.0009496408275470579,0.0009691889833046458
target_bearing,simMed_test.mat,anmf_steering_bank,0.003,105,197,0.0030059814453125,3943,762,0.19325386761349225,0.19675305310375432,6877337,19923,0.002896906171676624,0.0029308436360278548
target_bearing,simMed_test.mat,anmf_steering_bank,0.01,105,656,0.010009765625,3943,1303,0.33045904133908194,0.3320082294772826,6877337,67577,0.009826041678632297,0.009888134470969515
target_bearing,simMed_test.mat,kelly_steering_bank,1e-05,105,1,1.52587890625e-05,3943,96,0.024346943951306113,0.02928365528311522,6877337,9,1.3086460646032032e-06,2.283617738525517e-06
target_bearing,simMed_test.mat,kelly_steering_bank,3e-05,105,2,3.0517578125e-05,3943,169,0.04286076591427847,0.05149429418966099,6877337,41,5.961609849859037e-06,7.735170305994873e-06
target_bearing,simMed_test.mat,kelly_steering_bank,0.0001,105,7,0.0001068115234375,3943,459,0.11640882576718235,0.13228326577057553,6877337,276,4.013181264783157e-05,4.433864383583802e-05
target_bearing,simMed_test.mat,kelly_steering_bank,0.0003,105,20,0.00030517578125,3943,1029,0.2609688054780624,0.2893370966942363,6877337,1071,0.00015572888168778119,0.0001637861840439298
target_bearing,simMed_test.mat,kelly_steering_bank,0.001,105,66,0.001007080078125,3943,2164,0.5488206949023586,0.5817271358478495,6877337,4766,0.0006930007937665407,0.0007097356426575492
target_bearing,simMed_test.mat,kelly_steering_bank,0.003,105,197,0.0030059814453125,3943,3237,0.820948516358103,0.8205234528788178,6877337,17448,0.002537028503910743,0.002568808559188434
target_bearing,simMed_test.mat,kelly_steering_bank,0.01,105,656,0.010009765625,3943,3502,0.8881562262236875,0.8777629927744943,6877337,65378,0.009506295823514246,0.009567383617226945
target_bearing,simMed_test.mat,low_rank_residual_k30,1e-05,105,1,1.52587890625e-05,3943,98,0.024854171950291656,0.028580833054546936,6877337,7,1.0178358280247136e-06,1.911802188285764e-06
target_bearing,simMed_test.mat,low_rank_residual_k30,3e-05,105,2,3.0517578125e-05,3943,189,0.04793304590413391,0.054764272678943106,6877337,21,3.053507484074141e-06,4.39711227988174e-06
target_bearing,simMed_test.mat,low_rank_residual_k30,0.0001,105,7,0.0001068115234375,3943,543,0.1377124017245752,0.15364980821172153,6877337,192,2.7917782711535004e-05,3.146637849088412e-05
target_bearing,simMed_test.mat,low_rank_residual_k30,0.0003,105,20,0.00030517578125,3943,1176,0.29825006340349985,0.3204641289649226,6877337,924,0.0001343543292992622,0.000141855000140571
target_bearing,simMed_test.mat,low_rank_residual_k30,0.001,105,66,0.001007080078125,3943,2251,0.5708851128582297,0.5791093779789803,6877337,4679,0.0006803505484753765,0.0006969341733555289
target_bearing,simMed_test.mat,low_rank_residual_k30,0.003,105,197,0.0030059814453125,3943,3086,0.7826528024346944,0.7629382622605798,6877337,17599,0.002558984676772419,0.002590900609778378
target_bearing,simMed_test.mat,low_rank_residual_k30,0.01,105,656,0.010009765625,3943,3398,0.8617803702764393,0.8355160836173335,6877337,65482,0.009521417955816328,0.009582553668683332
target_bearing,simMed_test.mat,raw,1e-05,105,1,1.52587890625e-05,3943,99,0.02510778594978443,0.02979859896311683,6877337,6,8.724307097354689e-07,1.7219442093678475e-06
target_bearing,simMed_test.mat,raw,3e-05,105,2,3.0517578125e-05,3943,180,0.04565051990869896,0.052544558097594424,6877337,30,4.362153548677344e-06,5.916603471530327e-06
target_bearing,simMed_test.mat,raw,0.0001,105,7,0.0001068115234375,3943,455,0.11539436976921126,0.1258158924188207,6877337,280,4.0713433120988545e-05,4.49489125142143e-05
target_bearing,simMed_test.mat,raw,0.0003,105,20,0.00030517578125,3943,858,0.21760081156479838,0.2244624052832431,6877337,1242,0.00018059315691524205,0.0001892518260908951
target_bearing,simMed_test.mat,raw,0.001,105,66,0.001007080078125,3943,1347,0.34161805731676387,0.3397294491057429,6877337,5583,0.0008117967754088537,0.0008298892183092348
target_bearing,simMed_test.mat,raw,0.003,105,197,0.0030059814453125,3943,1821,0.4618310930763378,0.4558167104062843,6877337,18864,0.002742922151408314,0.0027759540691020264
target_bearing,simMed_test.mat,raw,0.01,105,656,0.010009765625,3943,2493,0.6322597007354805,0.6284763825839649,6877337,66387,0.009653009587868095,0.00971456064673793
target_bearing,simMed_test.mat,tpsscs_rank_fusion_budget,1e-05,105,1,1.52587890625e-05,3943,99,0.02510778594978443,0.029173113444963972,6877337,6,8.724307097354689e-07,1.7219442093678475e-06
target_bearing,simMed_test.mat,tpsscs_rank_fusion_budget,3e-05,105,2,3.0517578125e-05,3943,199,0.05046918589906163,0.058343973756204835,6877337,11,1.5994563011816929e-06,2.647464376123294e-06
target_bearing,simMed_test.mat,tpsscs_rank_fusion_budget,0.0001,105,7,0.0001068115234375,3943,597,0.1514075576971849,0.17230954296967957,6877337,138,2.0065906323915784e-05,2.3111264520532133e-05
target_bearing,simMed_test.mat,tpsscs_rank_fusion_budget,0.0003,105,20,0.00030517578125,3943,1372,0.3479584073040832,0.38391897295411603,6877337,728,0.00010585492611457021,0.00011253915095019596
target_bearing,simMed_test.mat,tpsscs_rank_fusion_budget,0.001,105,66,0.001007080078125,3943,2647,0.6713162566573675,0.6991222397218461,6877337,4283,0.0006227701216328355,0.0006386469114531883
target_bearing,simMed_test.mat,tpsscs_rank_fusion_budget,0.003,105,197,0.0030059814453125,3943,3449,0.8747146842505706,0.873663081111213,6877337,17236,0.0025062026188334236,0.0025377909015969306
target_bearing,simMed_test.mat,tpsscs_rank_fusion_budget,0.01,105,656,0.010009765625,3943,3685,0.9345675881308648,0.9257003934134843,6877337,65195,0.009479686686867316,0.009540690065958037
h0_audit,simWind_test.mat,ace_steering_bank,1e-05,4,1,1.52587890625e-05,0,0,,,262144,4,1.52587890625e-05,3.491756077531658e-05
h0_audit,simWind_test.mat,ace_steering_bank,3e-05,4,2,3.0517578125e-05,0,0,,,262144,8,3.0517578125e-05,5.506314299479093e-05
h0_audit,simWind_test.mat,ace_steering_bank,0.0001,4,7,0.0001068115234375,0,0,,,262144,28,0.0001068115234375,0.00014643913605923836
h0_audit,simWind_test.mat,ace_steering_bank,0.0003,4,20,0.00030517578125,0,0,,,262144,80,0.00030517578125,0.0003675347451123681
h0_audit,simWind_test.mat,ace_steering_bank,0.001,4,66,0.001007080078125,0,0,,,262144,264,0.001007080078125,0.0011151001898550496
h0_audit,simWind_test.mat,ace_steering_bank,0.003,4,197,0.0030059814453125,0,0,,,262144,788,0.0030059814453125,0.003187896074551341
h0_audit,simWind_test.mat,ace_steering_bank,0.01,4,656,0.010009765625,0,0,,,262144,2624,0.010009765625,0.010335516436312845
h0_audit,simWind_test.mat,amf_steering_bank,1e-05,4,1,1.52587890625e-05,0,0,,,262144,4,1.52587890625e-05,3.491756077531658e-05
h0_audit,simWind_test.mat,amf_steering_bank,3e-05,4,2,3.0517578125e-05,0,0,,,262144,8,3.0517578125e-05,5.506314299479093e-05
h0_audit,simWind_test.mat,amf_steering_bank,0.0001,4,7,0.0001068115234375,0,0,,,262144,28,0.0001068115234375,0.00014643913605923836
h0_audit,simWind_test.mat,amf_steering_bank,0.0003,4,20,0.00030517578125,0,0,,,262144,80,0.00030517578125,0.0003675347451123681
h0_audit,simWind_test.mat,amf_steering_bank,0.001,4,66,0.001007080078125,0,0,,,262144,264,0.001007080078125,0.0011151001898550496
h0_audit,simWind_test.mat,amf_steering_bank,0.003,4,197,0.0030059814453125,0,0,,,262144,788,0.0030059814453125,0.003187896074551341
h0_audit,simWind_test.mat,amf_steering_bank,0.01,4,656,0.010009765625,0,0,,,262144,2624,0.010009765625,0.010335516436312845
h0_audit,simWind_test.mat,anmf_steering_bank,1e-05,4,1,1.52587890625e-05,0,0,,,262144,4,1.52587890625e-05,3.491756077531658e-05
h0_audit,simWind_test.mat,anmf_steering_bank,3e-05,4,2,3.0517578125e-05,0,0,,,262144,8,3.0517578125e-05,5.506314299479093e-05
h0_audit,simWind_test.mat,anmf_steering_bank,0.0001,4,7,0.0001068115234375,0,0,,,262144,28,0.0001068115234375,0.00014643913605923836
h0_audit,simWind_test.mat,anmf_steering_bank,0.0003,4,20,0.00030517578125,0,0,,,262144,80,0.00030517578125,0.0003675347451123681
h0_audit,simWind_test.mat,anmf_steering_bank,0.001,4,66,0.001007080078125,0,0,,,262144,264,0.001007080078125,0.0011151001898550496
h0_audit,simWind_test.mat,anmf_steering_bank,0.003,4,197,0.0030059814453125,0,0,,,262144,788,0.0030059814453125,0.003187896074551341
h0_audit,simWind_test.mat,anmf_steering_bank,0.01,4,656,0.010009765625,0,0,,,262144,2624,0.010009765625,0.010335516436312845
h0_audit,simWind_test.mat,kelly_steering_bank,1e-05,4,1,1.52587890625e-05,0,0,,,262144,4,1.52587890625e-05,3.491756077531658e-05
h0_audit,simWind_test.mat,kelly_steering_bank,3e-05,4,2,3.0517578125e-05,0,0,,,262144,8,3.0517578125e-05,5.506314299479093e-05
h0_audit,simWind_test.mat,kelly_steering_bank,0.0001,4,7,0.0001068115234375,0,0,,,262144,28,0.0001068115234375,0.00014643913605923836
h0_audit,simWind_test.mat,kelly_steering_bank,0.0003,4,20,0.00030517578125,0,0,,,262144,80,0.00030517578125,0.0003675347451123681
h0_audit,simWind_test.mat,kelly_steering_bank,0.001,4,66,0.001007080078125,0,0,,,262144,264,0.001007080078125,0.0011151001898550496
h0_audit,simWind_test.mat,kelly_steering_bank,0.003,4,197,0.0030059814453125,0,0,,,262144,788,0.0030059814453125,0.003187896074551341
h0_audit,simWind_test.mat,kelly_steering_bank,0.01,4,656,0.010009765625,0,0,,,262144,2624,0.010009765625,0.010335516436312845
h0_audit,simWind_test.mat,low_rank_residual_k30,1e-05,4,1,1.52587890625e-05,0,0,,,262144,4,1.52587890625e-05,3.491756077531658e-05
h0_audit,simWind_test.mat,low_rank_residual_k30,3e-05,4,2,3.0517578125e-05,0,0,,,262144,8,3.0517578125e-05,5.506314299479093e-05
h0_audit,simWind_test.mat,low_rank_residual_k30,0.0001,4,7,0.0001068115234375,0,0,,,262144,28,0.0001068115234375,0.00014643913605923836
h0_audit,simWind_test.mat,low_rank_residual_k30,0.0003,4,20,0.00030517578125,0,0,,,262144,80,0.00030517578125,0.0003675347451123681
h0_audit,simWind_test.mat,low_rank_residual_k30,0.001,4,66,0.001007080078125,0,0,,,262144,264,0.001007080078125,0.0011151001898550496
h0_audit,simWind_test.mat,low_rank_residual_k30,0.003,4,197,0.0030059814453125,0,0,,,262144,788,0.0030059814453125,0.003187896074551341
h0_audit,simWind_test.mat,low_rank_residual_k30,0.01,4,656,0.010009765625,0,0,,,262144,2624,0.010009765625,0.010335516436312845
h0_audit,simWind_test.mat,raw,1e-05,4,1,1.52587890625e-05,0,0,,,262144,4,1.52587890625e-05,3.491756077531658e-05
h0_audit,simWind_test.mat,raw,3e-05,4,2,3.0517578125e-05,0,0,,,262144,8,3.0517578125e-05,5.506314299479093e-05
h0_audit,simWind_test.mat,raw,0.0001,4,7,0.0001068115234375,0,0,,,262144,28,0.0001068115234375,0.00014643913605923836
h0_audit,simWind_test.mat,raw,0.0003,4,20,0.00030517578125,0,0,,,262144,80,0.00030517578125,0.0003675347451123681
h0_audit,simWind_test.mat,raw,0.001,4,66,0.001007080078125,0,0,,,262144,264,0.001007080078125,0.0011151001898550496
h0_audit,simWind_test.mat,raw,0.003,4,197,0.0030059814453125,0,0,,,262144,788,0.0030059814453125,0.003187896074551341
h0_audit,simWind_test.mat,raw,0.01,4,656,0.010009765625,0,0,,,262144,2624,0.010009765625,0.010335516436312845
h0_audit,simWind_test.mat,tpsscs_rank_fusion_budget,1e-05,4,1,1.52587890625e-05,0,0,,,262144,4,1.52587890625e-05,3.491756077531658e-05
h0_audit,simWind_test.mat,tpsscs_rank_fusion_budget,3e-05,4,2,3.0517578125e-05,0,0,,,262144,8,3.0517578125e-05,5.506314299479093e-05
h0_audit,simWind_test.mat,tpsscs_rank_fusion_budget,0.0001,4,7,0.0001068115234375,0,0,,,262144,28,0.0001068115234375,0.00014643913605923836
h0_audit,simWind_test.mat,tpsscs_rank_fusion_budget,0.0003,4,20,0.00030517578125,0,0,,,262144,80,0.00030517578125,0.0003675347451123681
h0_audit,simWind_test.mat,tpsscs_rank_fusion_budget,0.001,4,66,0.001007080078125,0,0,,,262144,264,0.001007080078125,0.0011151001898550496
h0_audit,simWind_test.mat,tpsscs_rank_fusion_budget,0.003,4,197,0.0030059814453125,0,0,,,262144,788,0.0030059814453125,0.003187896074551341
h0_audit,simWind_test.mat,tpsscs_rank_fusion_budget,0.01,4,656,0.010009765625,0,0,,,262144,2624,0.010009765625,0.010335516436312845
target_bearing,simWind_test.mat,ace_steering_bank,1e-05,105,1,1.52587890625e-05,3943,10,0.00253613999492772,0.0031733549949053163,6877337,95,1.3813486237478256e-05,1.6381957899307314e-05
target_bearing,simWind_test.mat,ace_steering_bank,3e-05,105,2,3.0517578125e-05,3943,19,0.004818665990362668,0.0057339974777703894,6877337,191,2.7772377593245758e-05,3.1312349223785856e-05
target_bearing,simWind_test.mat,ace_steering_bank,0.0001,105,7,0.0001068115234375,3943,57,0.014455997971088003,0.0168935979455456,6877337,678,9.858467020010798e-05,0.00010504350614009243
target_bearing,simWind_test.mat,ace_steering_bank,0.0003,105,20,0.00030517578125,3943,152,0.03854932792290135,0.041912615297190745,6877337,1948,0.00028324917042744886,0.00029403376489760117
target_bearing,simWind_test.mat,ace_steering_bank,0.001,105,66,0.001007080078125,3943,365,0.09256910981486179,0.09644934359884016,6877337,6565,0.0009545846015688921,0.0009741829271188344
target_bearing,simWind_test.mat,ace_steering_bank,0.003,105,197,0.0030059814453125,3943,743,0.1884352016231296,0.1930954291956116,6877337,19942,0.00289966886892412,0.0029336223555251964
