dataset,image_index,method,k,pfa_target,threshold,pd,empirical_pfa,target_count,bg_count
simMed,1,low_rank_residual,3,0.0001,394.6190075654032,0.0,0.00010681315327687495,1,65535
simMed,1,low_rank_residual,5,0.01,34.04316524033871,0.0,0.010009918364232854,1,65535
simMed,1,low_rank_residual,5,0.001,93.42192436022862,0.0,0.001007095445181964,1,65535
simMed,1,low_rank_residual,5,0.0001,184.22705364819694,0.0,0.00010681315327687495,1,65535
simMed,1,low_rank_residual,10,0.01,12.827344495677238,0.0,0.010009918364232854,1,65535
simMed,1,low_rank_residual,10,0.001,28.738129896009113,0.0,0.001007095445181964,1,65535
simMed,1,low_rank_residual,10,0.0001,48.5789166755519,0.0,0.00010681315327687495,1,65535
simMed,1,low_rank_residual,20,0.01,6.018444175214862,0.0,0.010009918364232854,1,65535
simMed,1,low_rank_residual,20,0.001,13.583356041329571,0.0,0.001007095445181964,1,65535
simMed,1,low_rank_residual,20,0.0001,28.651791787000917,0.0,0.00010681315327687495,1,65535
simNoiseOnly,0,raw,0,0.01,192.21202920375154,0.8837209302325582,0.010001068816514741,43,65493
simNoiseOnly,0,raw,0,0.001,407.8287507111117,0.7674418604651163,0.001007741285328203,43,65493
simNoiseOnly,0,raw,0,0.0001,4062.447136381865,0.20930232558139536,0.00010688165147420336,43,65493
simNoiseOnly,0,low_rank_residual,1,0.01,191.5435941649513,0.8837209302325582,0.010001068816514741,43,65493
simNoiseOnly,0,low_rank_residual,1,0.001,422.0209012515511,0.7674418604651163,0.001007741285328203,43,65493
simNoiseOnly,0,low_rank_residual,1,0.0001,2690.2357566607666,0.18604651162790697,0.00010688165147420336,43,65493
simNoiseOnly,0,low_rank_residual,3,0.01,187.52278148748192,0.8837209302325582,0.010001068816514741,43,65493
simNoiseOnly,0,low_rank_residual,3,0.001,331.34337088624545,0.7674418604651163,0.001007741285328203,43,65493
simNoiseOnly,0,low_rank_residual,3,0.0001,2130.1036384889517,0.2558139534883721,0.00010688165147420336,43,65493
simNoiseOnly,0,low_rank_residual,5,0.01,183.71445770418975,0.8604651162790697,0.010001068816514741,43,65493
simNoiseOnly,0,low_rank_residual,5,0.001,315.6136321856682,0.7674418604651163,0.001007741285328203,43,65493
simNoiseOnly,0,low_rank_residual,5,0.0001,1803.564923615906,0.27906976744186046,0.00010688165147420336,43,65493
simNoiseOnly,0,low_rank_residual,10,0.01,173.55987158959198,0.8372093023255814,0.010001068816514741,43,65493
simNoiseOnly,0,low_rank_residual,10,0.001,269.09157035088,0.7441860465116279,0.001007741285328203,43,65493
simNoiseOnly,0,low_rank_residual,10,0.0001,1272.1921930053084,0.3488372093023256,0.00010688165147420336,43,65493
simNoiseOnly,0,low_rank_residual,20,0.01,155.95075094556861,0.8604651162790697,0.010001068816514741,43,65493
simNoiseOnly,0,low_rank_residual,20,0.001,217.7119515038212,0.7674418604651163,0.001007741285328203,43,65493
simNoiseOnly,0,low_rank_residual,20,0.0001,776.2697589798361,0.3953488372093023,0.00010688165147420336,43,65493
simNoiseOnly,1,raw,0,0.01,151.7102745480728,0.0,0.010009918364232854,1,65535
simNoiseOnly,1,raw,0,0.001,191.7270827581762,0.0,0.001007095445181964,1,65535
simNoiseOnly,1,raw,0,0.0001,220.12160949473142,0.0,0.00010681315327687495,1,65535
simNoiseOnly,1,low_rank_residual,1,0.01,149.94745629327804,0.0,0.010009918364232854,1,65535
simNoiseOnly,1,low_rank_residual,1,0.001,189.56770533880652,0.0,0.001007095445181964,1,65535
simNoiseOnly,1,low_rank_residual,1,0.0001,218.1653629651029,0.0,0.00010681315327687495,1,65535
simNoiseOnly,1,low_rank_residual,3,0.01,146.12825893266464,0.0,0.010009918364232854,1,65535
simNoiseOnly,1,low_rank_residual,3,0.001,184.3358741729658,0.0,0.001007095445181964,1,65535
simNoiseOnly,1,low_rank_residual,3,0.0001,218.8523510063007,0.0,0.00010681315327687495,1,65535
simNoiseOnly,1,low_rank_residual,5,0.01,143.50381672797474,0.0,0.010009918364232854,1,65535
simNoiseOnly,1,low_rank_residual,5,0.001,181.195809227069,0.0,0.001007095445181964,1,65535
simNoiseOnly,1,low_rank_residual,5,0.0001,217.0991225223583,0.0,0.00010681315327687495,1,65535
simNoiseOnly,1,low_rank_residual,10,0.01,134.94107278876436,0.0,0.010009918364232854,1,65535
simNoiseOnly,1,low_rank_residual,10,0.001,170.91042369924085,0.0,0.001007095445181964,1,65535
simNoiseOnly,1,low_rank_residual,10,0.0001,198.54440216523864,0.0,0.00010681315327687495,1,65535
simNoiseOnly,1,low_rank_residual,20,0.01,121.6331210768249,0.0,0.010009918364232854,1,65535
simNoiseOnly,1,low_rank_residual,20,0.001,150.49905672417265,0.0,0.001007095445181964,1,65535
simNoiseOnly,1,low_rank_residual,20,0.0001,183.1820621252422,0.0,0.00010681315327687495,1,65535
simWind,0,raw,0,0.01,985.5013435885612,0.5348837209302325,0.010001068816514741,43,65493
simWind,0,raw,0,0.001,2664.77103568016,0.3023255813953488,0.001007741285328203,43,65493
simWind,0,raw,0,0.0001,6002.704428609053,0.09302325581395349,0.00010688165147420336,43,65493
simWind,0,low_rank_residual,1,0.01,501.36289507056176,0.6976744186046512,0.010001068816514741,43,65493
simWind,0,low_rank_residual,1,0.001,1304.8513689583865,0.46511627906976744,0.001007741285328203,43,65493
simWind,0,low_rank_residual,1,0.0001,4012.3879509391227,0.20930232558139536,0.00010688165147420336,43,65493
simWind,0,low_rank_residual,3,0.01,142.3544243385282,0.9069767441860465,0.010001068816514741,43,65493
simWind,0,low_rank_residual,3,0.001,455.886432165537,0.7209302325581395,0.001007741285328203,43,65493
simWind,0,low_rank_residual,3,0.0001,3981.017078128654,0.18604651162790697,0.00010688165147420336,43,65493
simWind,0,low_rank_residual,5,0.01,78.1669129192875,0.9767441860465116,0.010001068816514741,43,65493
simWind,0,low_rank_residual,5,0.001,339.3136203634461,0.7441860465116279,0.001007741285328203,43,65493
simWind,0,low_rank_residual,5,0.0001,3961.3546601736307,0.18604651162790697,0.00010688165147420336,43,65493
