pfa_target,threshold,pd,empirical_pfa,target_count,bg_count,method,subset,path,image_index,has_target,step,split
3e-05,1438.7794268565776,0.11627906976744186,3.053761470691524e-05,43,65493,trainable_gate,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.0001,908.2498223197205,0.37209302325581395,0.00010688165147420336,43,65493,trainable_gate,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.0003,414.66990140983484,0.5581395348837209,0.00030537614706915243,43,65493,trainable_gate,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.001,113.1731067701634,0.8604651162790697,0.001007741285328203,43,65493,trainable_gate,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.003,26.435166799041628,1.0,0.0030079550486311513,43,65493,trainable_gate,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.01,13.62221396580216,1.0,0.010001068816514741,43,65493,trainable_gate,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
1e-05,6187.384051825041,,1.52587890625e-05,0,65536,raw,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
3e-05,5419.413788343435,,3.0517578125e-05,0,65536,raw,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.0001,3271.518491071117,,0.0001068115234375,0,65536,raw,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.0003,2632.724739434376,,0.00030517578125,0,65536,raw,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
