pfa_target,threshold,pd,empirical_pfa,target_count,bg_count,method,subset,path,image_index,has_target,step,split,held_out_subset,seed
0.001,214.38410588002168,0.7906976744186046,0.001007741285328203,43,65493,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,150,train,simMed,7
0.01,140.92791138918204,0.8604651162790697,0.010001068816514741,43,65493,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,150,train,simMed,7
0.0001,220.1215825700609,,0.0001068115234375,0,65536,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,150,train,simMed,7
0.001,191.72700850747006,,0.001007080078125,0,65536,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,150,train,simMed,7
0.01,151.71015514226332,,0.010009765625,0,65536,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,150,train,simMed,7
0.0001,168.44955290492138,,0.0001068115234375,0,65536,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,150,train,simMed,7
0.001,134.53460753633053,,0.001007080078125,0,65536,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,150,train,simMed,7
0.01,108.92508865160165,,0.010009765625,0,65536,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,150,train,simMed,7
0.0001,171.21729119349192,,0.0001068115234375,0,65536,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,150,train,simMed,7
0.001,135.5906510636368,,0.001007080078125,0,65536,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,150,train,simMed,7
0.01,109.52152003624741,,0.010009765625,0,65536,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,150,train,simMed,7
0.0001,6002.704428609053,0.09302325581395349,0.00010688165147420336,43,65493,raw,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,150,train,simMed,7
0.001,2664.77103568016,0.3023255813953488,0.001007741285328203,43,65493,raw,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,150,train,simMed,7
0.01,985.5013435885612,0.5348837209302325,0.010001068816514741,43,65493,raw,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,150,train,simMed,7
0.0001,425.7774764075932,0.16279069767441862,0.00010688165147420336,43,65493,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,150,train,simMed,7
0.001,62.542401908383525,0.813953488372093,0.001007741285328203,43,65493,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,150,train,simMed,7
0.01,17.423410147430896,0.9069767441860465,0.010001068816514741,43,65493,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,150,train,simMed,7
0.0001,3755.1414274381477,0.23255813953488372,0.00010688165147420336,43,65493,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,150,train,simMed,7
0.001,512.0637184020258,0.6744186046511628,0.001007741285328203,43,65493,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,150,train,simMed,7
