dataset,image_index,method,k,pfa_target,threshold,pd,empirical_pfa,target_count,bg_count
simNoiseOnly,0,low_rank_residual,1,3e-05,4431.49955995824,0.13953488372093023,3.053761470691524e-05,43,65493
simNoiseOnly,0,low_rank_residual,1,0.0001,2690.2357566607666,0.18604651162790697,0.00010688165147420336,43,65493
simNoiseOnly,0,low_rank_residual,1,0.0003,1662.7625293687288,0.37209302325581395,0.00030537614706915243,43,65493
simNoiseOnly,0,low_rank_residual,1,0.001,422.0209012515511,0.7674418604651163,0.001007741285328203,43,65493
simNoiseOnly,0,low_rank_residual,1,0.003,228.9035255103245,0.8372093023255814,0.0030079550486311513,43,65493
simNoiseOnly,0,low_rank_residual,1,0.01,191.5435941649513,0.8837209302325582,0.010001068816514741,43,65493
simNoiseOnly,0,low_rank_residual,2,1e-05,4525.824757493475,0.11627906976744186,1.526880735345762e-05,43,65493
simNoiseOnly,0,low_rank_residual,2,3e-05,3720.9396189320596,0.11627906976744186,3.053761470691524e-05,43,65493
simNoiseOnly,0,low_rank_residual,2,0.0001,2431.87346071157,0.23255813953488372,0.00010688165147420336,43,65493
simNoiseOnly,0,low_rank_residual,2,0.0003,1087.9368553179156,0.46511627906976744,0.00030537614706915243,43,65493
simNoiseOnly,0,low_rank_residual,2,0.001,332.8380995874383,0.7674418604651163,0.001007741285328203,43,65493
simNoiseOnly,0,low_rank_residual,2,0.003,224.18575233355435,0.8372093023255814,0.0030079550486311513,43,65493
simNoiseOnly,0,low_rank_residual,2,0.01,189.84138815220524,0.8837209302325582,0.010001068816514741,43,65493
simNoiseOnly,0,low_rank_residual,3,1e-05,3922.0540250518857,0.11627906976744186,1.526880735345762e-05,43,65493
simNoiseOnly,0,low_rank_residual,3,3e-05,3408.279329744824,0.11627906976744186,3.053761470691524e-05,43,65493
simNoiseOnly,0,low_rank_residual,3,0.0001,2130.1036384889517,0.2558139534883721,0.00010688165147420336,43,65493
simNoiseOnly,0,low_rank_residual,3,0.0003,1036.0594767331174,0.46511627906976744,0.00030537614706915243,43,65493
simNoiseOnly,0,low_rank_residual,3,0.001,331.34337088624545,0.7674418604651163,0.001007741285328203,43,65493
simNoiseOnly,0,low_rank_residual,3,0.003,220.91791627840905,0.8372093023255814,0.0030079550486311513,43,65493
simNoiseOnly,0,low_rank_residual,3,0.01,187.52278148748192,0.8837209302325582,0.010001068816514741,43,65493
simNoiseOnly,0,low_rank_residual,5,1e-05,3252.5073704923298,0.09302325581395349,1.526880735345762e-05,43,65493
simNoiseOnly,0,low_rank_residual,5,3e-05,2593.5347097347476,0.13953488372093023,3.053761470691524e-05,43,65493
simNoiseOnly,0,low_rank_residual,5,0.0001,1803.564923615906,0.27906976744186046,0.00010688165147420336,43,65493
simNoiseOnly,0,low_rank_residual,5,0.0003,1028.9554145700936,0.4418604651162791,0.00030537614706915243,43,65493
simNoiseOnly,0,low_rank_residual,5,0.001,315.6136321856682,0.7674418604651163,0.001007741285328203,43,65493
simNoiseOnly,0,low_rank_residual,5,0.003,214.65251994887635,0.8372093023255814,0.0030079550486311513,43,65493
simNoiseOnly,0,low_rank_residual,5,0.01,183.71445770418975,0.8604651162790697,0.010001068816514741,43,65493
simNoiseOnly,0,low_rank_residual,8,1e-05,2300.760033124823,0.11627906976744186,1.526880735345762e-05,43,65493
simNoiseOnly,0,low_rank_residual,8,3e-05,2128.20529266384,0.18604651162790697,3.053761470691524e-05,43,65493
simNoiseOnly,0,low_rank_residual,8,0.0001,1322.3119455730339,0.3488372093023256,0.00010688165147420336,43,65493
simNoiseOnly,0,low_rank_residual,8,0.0003,800.0239101227424,0.46511627906976744,0.00030537614706915243,43,65493
simNoiseOnly,0,low_rank_residual,8,0.001,277.2916413412596,0.7441860465116279,0.001007741285328203,43,65493
simNoiseOnly,0,low_rank_residual,8,0.003,206.1997219769326,0.8372093023255814,0.0030079550486311513,43,65493
simNoiseOnly,0,low_rank_residual,8,0.01,177.82782087331927,0.8372093023255814,0.010001068816514741,43,65493
simNoiseOnly,0,low_rank_residual,10,1e-05,2097.399910154428,0.11627906976744186,1.526880735345762e-05,43,65493
simNoiseOnly,0,low_rank_residual,10,3e-05,2011.7633837371714,0.13953488372093023,3.053761470691524e-05,43,65493
simNoiseOnly,0,low_rank_residual,10,0.0001,1272.1921930053084,0.3488372093023256,0.00010688165147420336,43,65493
simNoiseOnly,0,low_rank_residual,10,0.0003,732.3614135337455,0.46511627906976744,0.00030537614706915243,43,65493
simNoiseOnly,0,low_rank_residual,10,0.001,269.09157035088,0.7441860465116279,0.001007741285328203,43,65493
simNoiseOnly,0,low_rank_residual,10,0.003,203.75760114321184,0.8372093023255814,0.0030079550486311513,43,65493
simNoiseOnly,0,low_rank_residual,10,0.01,173.55987158959198,0.8372093023255814,0.010001068816514741,43,65493
simNoiseOnly,0,low_rank_residual,15,1e-05,1787.9804382542413,0.09302325581395349,1.526880735345762e-05,43,65493
simNoiseOnly,0,low_rank_residual,15,3e-05,1634.7545338168784,0.13953488372093023,3.053761470691524e-05,43,65493
simNoiseOnly,0,low_rank_residual,15,0.0001,952.4355928380913,0.3953488372093023,0.00010688165147420336,43,65493
simNoiseOnly,0,low_rank_residual,15,0.0003,579.3416646713747,0.4883720930232558,0.00030537614706915243,43,65493
simNoiseOnly,0,low_rank_residual,15,0.001,237.66945219570835,0.7674418604651163,0.001007741285328203,43,65493
