pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,dataset,file,window_index,item_id,method,beta,primary_target_bin_1indexed,guard_bins_1indexed,residual_threshold,gate_threshold
1e-05,555730581.0986371,0.0029296875,0.0,1024,10240,0,0,3,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,raw,,9,"8,9,10,11",,
3e-05,555730581.0986371,0.0029296875,0.0,1024,10240,0,0,3,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,raw,,9,"8,9,10,11",,
0.0001,547147266.0714593,0.0029296875,9.765625e-05,1024,10240,1,1,4,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,raw,,9,"8,9,10,11",,
0.0003,507870045.8638719,0.0029296875,0.00029296875,1024,10240,3,3,6,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,raw,,9,"8,9,10,11",,
0.001,361992530.35938615,0.005859375,0.0009765625,1024,10240,10,10,16,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,raw,,9,"8,9,10,11",,
0.003,265907152.9308792,0.0107421875,0.0029296875,1024,10240,30,30,41,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,raw,,9,"8,9,10,11",,
0.01,146820246.41041893,0.0263671875,0.0099609375,1024,10240,102,102,134,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,raw,,9,"8,9,10,11",,
1e-05,211434.91254030098,0.0,0.0,1024,10240,0,0,12,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,low_rank_residual_k30,,9,"8,9,10,11",,
3e-05,211434.91254030098,0.0,0.0,1024,10240,0,0,12,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,low_rank_residual_k30,,9,"8,9,10,11",,
0.0001,207115.87161784797,0.0,9.765625e-05,1024,10240,1,1,13,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,low_rank_residual_k30,,9,"8,9,10,11",,
0.0003,184681.17600576734,0.0,0.00029296875,1024,10240,3,3,17,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,low_rank_residual_k30,,9,"8,9,10,11",,
0.001,158852.4840683998,0.0,0.0009765625,1024,10240,10,10,25,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,low_rank_residual_k30,,9,"8,9,10,11",,
0.003,130756.58297208633,0.0,0.0029296875,1024,10240,30,30,46,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,low_rank_residual_k30,,9,"8,9,10,11",,
0.01,73930.22173848291,0.0,0.0099609375,1024,10240,102,102,131,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,low_rank_residual_k30,,9,"8,9,10,11",,
1e-05,,0.0,0.0,1024,10240,0,0,12,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,tpsscs_finished_detector,,9,"8,9,10,11",211434.91254030095,387975188.11513335
3e-05,,0.0,0.0,1024,10240,0,0,12,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,tpsscs_finished_detector,,9,"8,9,10,11",211434.91254030095,387975188.11513335
0.0001,,0.0,9.765625e-05,1024,10240,1,1,13,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,tpsscs_finished_detector,,9,"8,9,10,11",207115.87161784785,387975188.11513335
0.0003,,0.0,0.00029296875,1024,10240,3,3,17,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,tpsscs_finished_detector,,9,"8,9,10,11",184681.17600576766,387975188.11513335
0.001,,0.0,0.0009765625,1024,10240,10,10,25,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,tpsscs_finished_detector,,9,"8,9,10,11",158852.48406840026,387975188.11513335
0.003,,0.0,0.0029296875,1024,10240,30,30,46,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,tpsscs_finished_detector,,9,"8,9,10,11",130756.58297208555,387975188.11513335
0.01,,0.0,0.0099609375,1024,10240,102,102,131,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,tpsscs_finished_detector,,9,"8,9,10,11",73930.22173848252,387975188.11513335
1e-05,8.225527745817756,0.0,0.0,1024,10240,0,0,0,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
3e-05,8.225527745817756,0.0,0.0,1024,10240,0,0,0,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
0.0001,8.167296055836939,0.0,9.765625e-05,1024,10240,1,1,1,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
0.0003,8.088342633864736,0.0,0.00029296875,1024,10240,3,3,3,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
0.001,7.852255750128927,0.0,0.0009765625,1024,10240,10,10,10,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
