calibration_mode,residual_safety_factor,gate_margin_scale,combined_pfa_calibrated,asset_pfa_calibrated,all_methods_combined_pfa_calibrated,combined_wins_vs_raw,combined_wins_vs_lowrank,asset_wins_vs_raw,asset_wins_vs_lowrank,combined_points,asset_points,min_combined_delta_vs_raw,min_combined_delta_vs_lowrank,max_combined_tpsscs_pfa_ratio,max_asset_tpsscs_pfa_ratio,strict_pass
same_asset_target_free_conservative,10.0,16.0,False,False,False,7,7,14,14,7,14,0.4379005246326676,0.06688670220075688,59.63998022128336,66.76591724785006,False
same_asset_target_free_conservative,10.0,4.0,False,False,False,7,7,14,14,7,14,0.43924802255377915,0.06823420012186843,59.8944563587789,66.91131848096346,False
same_asset_target_free_conservative,10.0,0.0,False,False,False,7,7,14,14,7,14,0.43924802255377915,0.06823420012186843,59.93080899874256,66.954941204689,False
same_asset_target_free_conservative,10.0,0.25,False,False,False,7,7,14,14,7,14,0.43924802255377915,0.06823420012186843,59.93080899874256,66.954941204689,False
same_asset_target_free_conservative,10.0,1.0,False,False,False,7,7,14,14,7,14,0.43924802255377915,0.06823420012186843,59.93080899874256,66.954941204689,False
cross_asset_target_free_conservative,10.0,16.0,False,False,False,7,7,14,14,7,14,0.4441846138286277,0.06940647872595151,60.14166840174206,65.79163055179977,False
cross_asset_target_free_conservative,10.0,4.0,False,False,False,7,7,14,14,7,14,0.4442653240788294,0.06948718897615325,60.425211442712246,65.95158194437045,False
cross_asset_target_free_conservative,10.0,1.0,False,False,False,7,7,14,14,7,14,0.44442405423755954,0.06964591913488338,60.497924935962885,66.00975993414596,False
cross_asset_target_free_conservative,10.0,0.0,False,False,False,7,7,14,14,7,14,0.44470416628237747,0.06992603117970131,60.505197573319364,66.00975993414596,False
cross_asset_target_free_conservative,10.0,0.25,False,False,False,7,7,14,14,7,14,0.44470416628237747,0.06992603117970131,60.505197573319364,66.00975993414596,False
same_asset_target_free_conservative,1.0,256.0,False,False,False,7,7,14,14,7,14,0.2297517356719686,0.03786640130659369,85.98407583447741,88.95795065366576,False
cross_asset_target_free_conservative,1.0,256.0,False,False,False,7,7,14,14,7,14,0.22759184153553758,0.03798529711281906,86.90750167958426,92.57924518883544,False
same_asset_target_free_conservative,1.0,64.0,False,False,False,7,7,14,14,7,14,0.23932780588555813,0.047442471520183216,87.8454015891171,90.33941090422285,False
same_asset_target_free_conservative,1.0,16.0,False,False,False,7,7,14,14,7,14,0.24220914818521977,0.050323813819844854,88.69606012605958,90.86292576904513,False
cross_asset_target_free_conservative,1.0,64.0,False,False,False,7,7,14,14,7,14,0.23887959111572632,0.049273046693007805,88.7615787738916,93.88800305096467,False
same_asset_target_free_conservative,1.0,4.0,False,False,False,7,7,14,14,7,14,0.24308176713833407,0.051196432772959155,88.90691076385086,90.99378861062804,False
same_asset_target_free_conservative,1.0,0.0,False,False,False,7,7,14,14,7,14,0.24308176713833407,0.051196432772959155,88.92872434633233,91.02287094515098,False
same_asset_target_free_conservative,1.0,0.25,False,False,False,7,7,14,14,7,14,0.24308176713833407,0.051196432772959155,88.92872434633233,91.02287094515098,False
same_asset_target_free_conservative,1.0,1.0,False,False,False,7,7,14,14,7,14,0.24308176713833407,0.051196432772959155,88.92872434633233,91.02287094515098,False
cross_asset_target_free_conservative,1.0,16.0,False,False,False,7,7,14,14,7,14,0.2412018951132462,0.051595350690527675,89.53952859188801,94.28061289039348,False
cross_asset_target_free_conservative,1.0,4.0,False,False,False,7,7,14,14,7,14,0.2412018951132462,0.051595350690527675,89.79399351772771,94.42602544755394,False
cross_asset_target_free_conservative,1.0,0.0,False,False,False,7,7,14,14,7,14,0.24148200715806412,0.0518754627353456,89.85216362404731,94.45511666346735,False
cross_asset_target_free_conservative,1.0,0.25,False,False,False,7,7,14,14,7,14,0.24148200715806412,0.0518754627353456,89.85216362404731,94.45511666346735,False
cross_asset_target_free_conservative,1.0,1.0,False,False,False,7,7,14,14,7,14,0.2412018951132462,0.051595350690527675,89.85216362404731,94.45511666346735,False
