calibration_mode,residual_safety_factor,gate_margin_scale,asset,pfa_target,n_items,tpsscs_pd,raw_pd,lowrank_pd,delta_vs_raw,delta_vs_lowrank,tpsscs_empirical_pfa,raw_empirical_pfa,lowrank_empirical_pfa,tpsscs_false_alarms_total,background_count_total,pfa_ceiling,tpsscs_pfa_calibrated,raw_pfa_calibrated,lowrank_pfa_calibrated,beats_raw,beats_lowrank
same_asset_target_free_conservative,1.0,0.25,simWind_test.mat,0.001,105,0.8185869973642589,0.3987042930048319,0.7453734340825409,0.419882704359427,0.07321356328171802,0.006434611472799163,0.0015394806227098448,0.006390551365043908,44247,6877337,0.0010501000000000002,False,False,False,True,True
same_asset_target_free_conservative,1.0,0.25,simWind_test.mat,0.003,105,0.8642737567095174,0.5055600980030657,0.8000547557521641,0.3587136587064518,0.06421900095735333,0.01344365578169227,0.0040296560480656595,0.013406575882506504,92445,6877337,0.0031501,False,False,False,True,True
same_asset_target_free_conservative,1.0,0.25,simWind_test.mat,0.01,105,0.8986038581302221,0.677697574640705,0.8444455470946568,0.22090628348951713,0.05415831103556534,0.03244515560351655,0.0117727087327269,0.03241462004537092,223112,6877337,0.0105001,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,combined,1e-05,210,0.6233813005703638,0.12159898094895295,0.5102623905974354,0.5017823196214108,0.1131189099729284,0.0008892872434633234,4.0789765138511033e-05,0.0008301025008071062,12230,13754674,1.0600000000000002e-05,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,combined,3e-05,210,0.6641358206695189,0.1683596570954903,0.5610536679146784,0.49577616357402865,0.10308215275484056,0.0011550512859057512,8.81948571719326e-05,0.0011016108208633116,15885,13754674,3.16e-05,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,combined,0.0001,210,0.7206721810173542,0.2294593583535087,0.6310924225408134,0.49121282266384547,0.08957975847654076,0.0018557801581123557,0.00024829334936168863,0.0018095379985008564,25522,13754674,0.00010510000000000001,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,combined,0.0003,210,0.7673263222485921,0.2945886820418752,0.6884616151538321,0.4727376402067169,0.07886470709476001,0.003191502140556549,0.0005590392832661693,0.0031507133364180495,43892,13754674,0.00031509999999999996,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,combined,0.001,210,0.8189516785013716,0.3797036559475925,0.7507174783795032,0.43924802255377915,0.06823420012186843,0.0066235625304228865,0.0015333025022732513,0.006588445223172415,91093,13754674,0.0010501000000000002,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,combined,0.003,210,0.8643156053185871,0.4852970262338184,0.8047380295962294,0.3790185790847687,0.05957757572235767,0.013750728199175942,0.004035918314185886,0.013721064141986764,189114,13754674,0.0031501,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,combined,0.01,210,0.9012180113342105,0.6581362441958765,0.8500215785612514,0.24308176713833407,0.051196432772959155,0.03327282047611399,0.01186898320840281,0.03324795554905062,457609,13754674,0.0105001,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,simMed_test.mat,1e-05,105,0.6117584070163372,0.10756648816697639,0.5058578438401101,0.5041919188493609,0.10590056317622709,0.0009102287094515099,3.722715648196352e-05,0.0008641310647307332,6259,6877337,1.0600000000000002e-05,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,simMed_test.mat,3e-05,105,0.6590511543907068,0.15562154018553298,0.5625909891620389,0.5034296142051738,0.09646016522866796,0.0012137288467696304,8.594089017915495e-05,0.0011719939805895229,8346,6877337,3.16e-05,False,False,False,True,True
