label_budget,asset,pfa_target,compact_pd,low_label_hgb_pd,delta_compact_minus_low_label_hgb,compact_empirical_pfa,low_label_hgb_empirical_pfa,n_items,n_pair_observations,n_seeds,compact_item_win_fraction,compact_pfa_calibrated,low_label_hgb_pfa_calibrated,compact_beats_low_label_hgb,pfa
2,simWind_test.mat,0.0003,0.5368152651851739,0.15509285582669965,0.38172240935847424,0.0002900832244325381,0.00018412095919637602,105,315,3,0.9873015873015873,True,True,True,0.0003
2,simWind_test.mat,0.001,0.709979513423963,0.37739761912038194,0.3325818943035811,0.0009923899783219553,0.000885849783259421,105,315,3,0.9809523809523809,True,True,True,0.001
2,simMed_test.mat,0.0003,0.5154646610355453,0.06231862690324191,0.4531460341323034,0.0002900832244325381,0.00018504914364365856,105,315,3,1.0,True,True,True,0.0003
2,simMed_test.mat,0.0001,0.3631281887560889,0.027107566322768485,0.33602062243332037,9.160522876818475e-05,4.303793921873326e-05,105,315,3,0.9968253968253968,True,True,True,0.0001
2,combined,1e-05,0.18453205303478548,0.0016837224909024132,0.18284833054388308,0.0,0.0,210,630,3,0.9952380952380953,True,True,True,1e-05
2,simMed_test.mat,0.003,0.8138666025670928,0.3076679057034263,0.5061986968636666,0.0029924374730939812,0.002911250686877284,105,315,3,0.9904761904761905,True,True,True,0.003
2,combined,0.01,0.8677902575913438,0.6338472279741291,0.23394302961721475,0.009992820396478945,0.009789497528297521,210,630,3,0.8825396825396825,True,True,True,0.01
2,combined,0.003,0.813040071150322,0.4306594627403526,0.3823806084099693,0.0029924374730939812,0.00281745365279979,210,630,3,0.9650793650793651,True,True,True,0.003
2,combined,0.001,0.7028664531528073,0.2750726664749316,0.4277937866778757,0.0009923899783219553,0.0008649081191567599,210,630,3,0.9873015873015873,True,True,True,0.001
2,combined,0.0003,0.5261399631103596,0.10870574136497078,0.41743422174538886,0.0002900832244325381,0.0001845850514200173,210,630,3,0.9936507936507937,True,True,True,0.0003
2,combined,0.0001,0.3681866997918742,0.025228804472946145,0.342957895318928,9.160522876818475e-05,3.23501514841772e-05,210,630,3,0.9936507936507937,True,True,True,0.0001
2,combined,3e-05,0.2358216637678027,0.003591379234522654,0.23223028453328,1.526753812803079e-05,2.6413565455844473e-06,210,630,3,0.9984126984126984,True,True,True,3e-05
2,simMed_test.mat,3e-05,0.23292866331646772,0.0064706911772816214,0.22645797213918611,1.526753812803079e-05,4.410497618347948e-06,105,315,3,0.9968253968253968,True,True,True,3e-05
2,simMed_test.mat,1e-05,0.184544890419632,0.003046932161292006,0.18149795825834,0.0,0.0,105,315,3,0.9904761904761905,True,True,True,1e-05
4,simWind_test.mat,3e-05,0.23871466421913762,0.008576896248883574,0.23013776797025404,1.526753812803079e-05,2.229485751693837e-06,105,315,3,0.9936507936507937,True,True,True,3e-05
4,simWind_test.mat,0.0001,0.3732452108276595,0.043534623049571924,0.32971058777808754,9.160522876818475e-05,3.12608391798288e-05,105,315,3,0.9968253968253968,True,True,True,0.0001
4,combined,0.003,0.813040071150322,0.697406694564785,0.11563337658553695,0.0029924374730939812,0.002882917973022052,210,630,3,0.7571428571428571,True,True,True,0.003
4,combined,0.01,0.8677902575913438,0.8432331392576055,0.02455711833373831,0.009992820396478945,0.009747168938819079,210,630,3,0.5793650793650794,True,True,True,0.01
4,combined,0.001,0.7028664531528073,0.4458794202633051,0.2569870328895022,0.0009923899783219553,0.0007523068451434838,210,630,3,0.8253968253968254,True,True,True,0.001
4,combined,1e-05,0.18453205303478548,0.002997235429605384,0.18153481760518012,0.0,0.0,210,630,3,0.9873015873015873,True,True,True,1e-05
4,combined,0.0003,0.5261399631103596,0.19229135836245076,0.33384860474790884,0.0002900832244325381,0.0001518934439042274,210,630,3,0.9412698412698413,True,True,True,0.0003
4,combined,0.0001,0.3681866997918742,0.050972616836283666,0.3172140829555905,9.160522876818475e-05,2.5250457028197893e-05,210,630,3,0.9714285714285714,True,True,True,0.0001
4,simWind_test.mat,0.003,0.812213539733551,0.6687908017299609,0.14342273800359018,0.0029924374730939812,0.002912849980180831,105,315,3,0.7904761904761904,True,True,True,0.003
4,simWind_test.mat,0.01,0.8663473290962685,0.8379227805990159,0.02842454849725254,0.009992820396478945,0.009730871763361515,105,315,3,0.5650793650793651,True,True,True,0.01
4,simMed_test.mat,0.0003,0.5154646610355453,0.21439175486329942,0.30107290617224597,0.0002900832244325381,0.00015412048454691005,105,315,3,0.9301587301587302,True,True,True,0.0003
4,simMed_test.mat,0.0001,0.3631281887560889,0.05841061062299542,0.3047175781330934,9.160522876818475e-05,1.9240074876567e-05,105,315,3,0.946031746031746,True,True,True,0.0001
4,simMed_test.mat,3e-05,0.23292866331646772,0.009313588292546719,0.22361507502392103,1.526753812803079e-05,1.017694836217413e-06,105,315,3,0.9809523809523809,True,True,True,3e-05
4,simMed_test.mat,1e-05,0.184544890419632,0.0025168455256825706,0.18202804489394944,0.0,0.0,105,315,3,0.9777777777777777,True,True,True,1e-05
4,simWind_test.mat,0.0003,0.5368152651851739,0.1701909618616021,0.36662430332357177,0.0002900832244325381,0.00014966640326154478,105,315,3,0.9523809523809523,True,True,True,0.0003
