pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,asset,image_index,item_id,method,method_family,train_asset,test_asset
0.01,0.9294916987419128,0.896551724137931,0.009988087601942638,58,65478,654,654,706,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
1e-05,0.9999265670776367,0.08771929824561403,0.0,57,65479,0,0,5,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
3e-05,0.9999141693115234,0.10526315789473684,1.5272071962003084e-05,57,65479,1,1,7,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0001,0.9997897744178772,0.17543859649122806,9.163243177201851e-05,57,65479,6,6,16,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0003,0.9989650249481201,0.3157894736842105,0.0002901693672780586,57,65479,19,19,37,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.001,0.9931396842002869,0.49122807017543857,0.0009926846775302005,57,65479,65,65,93,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.003,0.9796519875526428,0.631578947368421,0.0029933261045526046,57,65479,196,196,232,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.01,0.9235879182815552,0.7719298245614035,0.009987935063150018,57,65479,654,654,698,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
1e-05,0.9999926090240479,0.23529411764705882,0.0,17,65519,0,0,4,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
3e-05,0.9999790191650391,0.35294117647058826,1.526274821044277e-05,17,65519,1,1,7,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0001,0.9998651742935181,0.47058823529411764,9.157648926265664e-05,17,65519,6,6,14,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0003,0.9990154504776001,0.5294117647058824,0.00028999221599841266,17,65519,19,19,28,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
