pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,asset,image_index,item_id,method,method_family,train_asset,test_asset
0.001,0.9279239418733826,0.9565217391304348,0.0009921694930777097,23,65513,65,65,87,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.765715587442198,1.0,0.0029917726252804786,23,65513,196,196,219,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.351704088110312,1.0,0.009998015661013845,23,65513,655,655,678,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9998009785051237,0.2413793103448276,0.0,58,65478,0,0,14,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9997923327081005,0.29310344827586204,1.527230520174715e-05,58,65478,1,1,18,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9994583831314564,0.6724137931034483,9.163383121048291e-05,58,65478,6,6,45,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9962888375470462,0.8793103448275862,0.0002901737988331959,58,65478,19,19,70,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.9585173263204412,0.9827586206896551,0.0009926998381135648,58,65478,65,65,122,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.7520698002784223,1.0,0.0029933718195424416,58,65478,196,196,254,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.4211222540869884,1.0,0.009988087601942638,58,65478,654,654,712,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
