asset,item_id,image_index,target_count,method,log_pfa_auc_pd,pfa_points
simMed_test.mat,simMed_test.mat#19,19,24,tpsscs_finished_detector,0.516748732048931,7
simMed_test.mat,simMed_test.mat#19,19,24,tpsscs_trainable_gate,0.6321264662600539,7
simMed_test.mat,simMed_test.mat#20,20,24,low_rank_residual_k30,0.29752209152225734,7
simMed_test.mat,simMed_test.mat#20,20,24,raw,0.27968433988447255,7
simMed_test.mat,simMed_test.mat#20,20,24,tpsscs_finished_detector,0.3808554248555907,7
simMed_test.mat,simMed_test.mat#20,20,24,tpsscs_trainable_gate,0.53063762093782,7
simMed_test.mat,simMed_test.mat#21,21,17,low_rank_residual_k30,0.5214022545317912,7
simMed_test.mat,simMed_test.mat#21,21,17,raw,0.3159685044392488,7
simMed_test.mat,simMed_test.mat#21,21,17,tpsscs_finished_detector,0.6978728427670853,7
simMed_test.mat,simMed_test.mat#21,21,17,tpsscs_trainable_gate,0.6254649381239645,7
simMed_test.mat,simMed_test.mat#22,22,52,low_rank_residual_k30,0.4971095505559493,7
simMed_test.mat,simMed_test.mat#22,22,52,raw,0.35032293616926863,7
simMed_test.mat,simMed_test.mat#22,22,52,tpsscs_finished_detector,0.5636839497456821,7
simMed_test.mat,simMed_test.mat#22,22,52,tpsscs_trainable_gate,0.5461290739292729,7
simMed_test.mat,simMed_test.mat#23,23,55,low_rank_residual_k30,0.4411372758429572,7
simMed_test.mat,simMed_test.mat#23,23,55,raw,0.3313530714405226,7
simMed_test.mat,simMed_test.mat#23,23,55,tpsscs_finished_detector,0.4652410410230763,7
simMed_test.mat,simMed_test.mat#23,23,55,tpsscs_trainable_gate,0.4564274500567774,7
simMed_test.mat,simMed_test.mat#24,24,37,low_rank_residual_k30,0.4829245094760832,7
simMed_test.mat,simMed_test.mat#24,24,37,raw,0.22943556828975856,7
simMed_test.mat,simMed_test.mat#24,24,37,tpsscs_finished_detector,0.5346232538667123,7
simMed_test.mat,simMed_test.mat#24,24,37,tpsscs_trainable_gate,0.553053501529421,7
simMed_test.mat,simMed_test.mat#25,25,30,low_rank_residual_k30,0.4675749089618321,7
simMed_test.mat,simMed_test.mat#25,25,30,raw,0.3776691869493727,7
simMed_test.mat,simMed_test.mat#25,25,30,tpsscs_finished_detector,0.519971374318271,7
simMed_test.mat,simMed_test.mat#25,25,30,tpsscs_trainable_gate,0.5062095895698283,7
simMed_test.mat,simMed_test.mat#26,26,63,low_rank_residual_k30,0.47290563754078985,7
simMed_test.mat,simMed_test.mat#26,26,63,raw,0.23209555515600733,7
simMed_test.mat,simMed_test.mat#26,26,63,tpsscs_finished_detector,0.4992396124334864,7
simMed_test.mat,simMed_test.mat#26,26,63,tpsscs_trainable_gate,0.4639490071873551,7
simMed_test.mat,simMed_test.mat#27,27,59,low_rank_residual_k30,0.4367826511828716,7
simMed_test.mat,simMed_test.mat#27,27,59,raw,0.4084048051643385,7
simMed_test.mat,simMed_test.mat#27,27,59,tpsscs_finished_detector,0.5040622275607171,7
simMed_test.mat,simMed_test.mat#27,27,59,tpsscs_trainable_gate,0.5084934033681775,7
simMed_test.mat,simMed_test.mat#28,28,26,low_rank_residual_k30,0.45529622526569075,7
simMed_test.mat,simMed_test.mat#28,28,26,raw,0.31644910208003457,7
simMed_test.mat,simMed_test.mat#28,28,26,tpsscs_finished_detector,0.563977266992866,7
simMed_test.mat,simMed_test.mat#28,28,26,tpsscs_trainable_gate,0.6476039175733831,7
simMed_test.mat,simMed_test.mat#29,29,26,low_rank_residual_k30,0.31556915033848315,7
simMed_test.mat,simMed_test.mat#29,29,26,raw,0.21329836502156438,7
simMed_test.mat,simMed_test.mat#29,29,26,tpsscs_finished_detector,0.3540306888000216,7
