asset,method,pfa_target,n_items,pd_mean,pd_median,pd_std,empirical_pfa_mean,empirical_pfa_max,target_count_sum
simWind_test.mat,tpsscs_finished_detector,0.001,105,0.7099795134239631,0.7272727272727273,0.12008463536119189,0.0009923899783219551,0.000992775647977,3943
simWind_test.mat,tpsscs_finished_detector,0.003,105,0.8122135397335509,0.847457627118644,0.12466235951209222,0.0029924374730939804,0.0029936004154384,3943
simWind_test.mat,tpsscs_finished_detector,0.01,105,0.8663473290962684,0.8928571428571429,0.10692866525167968,0.009992820396478945,0.01,3943
simWind_test.mat,tpsscs_trainable_gate,1e-05,105,0.09677142434078942,0.0769230769230769,0.06653189701211461,0.0,0.0,3943
simWind_test.mat,tpsscs_trainable_gate,3e-05,105,0.15965253467602922,0.1525423728813559,0.07377051414651803,1.526753812803079e-05,1.5273471507338904e-05,3943
simWind_test.mat,tpsscs_trainable_gate,0.0001,105,0.31759868731985275,0.3095238095238095,0.08856348789661558,9.160522876818475e-05,9.16408290440334e-05,3943
simWind_test.mat,tpsscs_trainable_gate,0.0003,105,0.5427654402491557,0.5254237288135594,0.12261038723025505,0.0002900832244325381,0.0002901959586394,3943
simWind_test.mat,tpsscs_trainable_gate,0.001,105,0.7781310425603991,0.7636363636363637,0.11648677958142688,0.0009923899783219551,0.000992775647977,3943
simWind_test.mat,tpsscs_trainable_gate,0.003,105,0.8764721355808912,0.9130434782608696,0.10501565547274584,0.0029924374730939804,0.0029936004154384,3943
simWind_test.mat,tpsscs_trainable_gate,0.01,105,0.9147337098440579,0.925925925925926,0.08366842887785737,0.009992820396478945,0.01,3943
