label_budget,pfa,n_pair_observations,n_items,n_seeds,mean_delta_compact_minus_low_label_hgb,ci95_low,ci95_high,positive_fraction,nonnegative_fraction
16,0.0001,630,210,3,0.133878921101158,0.12225441631621524,0.14509653767137407,0.7968253968253968,0.8333333333333334
16,0.0003,630,210,3,0.07425647380637534,0.06163098703811885,0.08710832430160358,0.6571428571428571,0.7142857142857143
16,0.001,630,210,3,0.016121804389113845,0.005766434392466297,0.025906513394039397,0.4857142857142857,0.5793650793650794
16,0.003,630,210,3,0.000979560232162296,-0.006497810735580108,0.008448710976542772,0.4777777777777778,0.6063492063492063
16,0.01,630,210,3,-0.010928249979563437,-0.018439715995924255,-0.004221269897820833,0.4174603174603175,0.5492063492063493
32,1e-05,630,210,3,0.08740984361244593,0.07666086650929521,0.09793331677321293,0.7301587301587301,0.746031746031746
32,3e-05,630,210,3,0.06861436211070869,0.05648232950378297,0.08039863416718442,0.6317460317460317,0.6730158730158731
32,0.0001,630,210,3,0.0016618872354048895,-0.01123977877502682,0.013986801703294732,0.4634920634920635,0.5142857142857142
32,0.0003,630,210,3,-0.0377052704988617,-0.048253926825114674,-0.02722286103833996,0.33015873015873015,0.4158730158730159
32,0.001,630,210,3,-0.0299208647210405,-0.039080084489814405,-0.020958589599993072,0.32063492063492066,0.4301587301587302
32,0.003,630,210,3,-0.01670526309231367,-0.024688131008846672,-0.008927537645756004,0.34285714285714286,0.47619047619047616
32,0.01,630,210,3,-0.03868297489135519,-0.045313487000985746,-0.03255950528935524,0.20634920634920634,0.37936507936507935
64,1e-05,630,210,3,0.022091483028670537,0.011497184926670246,0.032515728627652764,0.5682539682539682,0.5936507936507937
64,3e-05,630,210,3,-0.008342016221824382,-0.02046742603264443,0.0030187364698868904,0.473015873015873,0.5158730158730159
64,0.0001,630,210,3,-0.06673478397762385,-0.0787186556465882,-0.055114673692988024,0.27936507936507937,0.3523809523809524
64,0.0003,630,210,3,-0.09843676567138351,-0.1103121332356959,-0.08699464860795728,0.20952380952380953,0.26666666666666666
64,0.001,630,210,3,-0.07536479060320447,-0.08472073780213754,-0.06532806443415033,0.22063492063492063,0.3047619047619048
64,0.003,630,210,3,-0.04856701424825677,-0.056818500407419106,-0.04072102425943918,0.25396825396825395,0.36507936507936506
64,0.01,630,210,3,-0.04958307451547577,-0.05700685925761684,-0.04303575741792052,0.1761904761904762,0.3126984126984127
128,1e-05,630,210,3,-0.08399425611081719,-0.09602043584729457,-0.07154335721598791,0.27936507936507937,0.3047619047619048
128,3e-05,630,210,3,-0.12405228910516379,-0.1363412088184071,-0.11092353390520919,0.19047619047619047,0.22380952380952382
128,0.0001,630,210,3,-0.17823908731067725,-0.19027580084750148,-0.16671685378548623,0.08571428571428572,0.1111111111111111
128,0.0003,630,210,3,-0.16676816626608332,-0.17818533040370751,-0.15561337994261085,0.10158730158730159,0.14444444444444443
128,0.001,630,210,3,-0.11464971807909763,-0.12359497940767603,-0.10510402764674646,0.1126984126984127,0.20317460317460317
