asset,item_id,image_index,pfa_target,target_method,comparator,target_pd,comparator_pd,delta_pd,target_empirical_pfa,target_count,outcome
simMed_test.mat,simMed_test.mat#11,11,0.0001,tpsscs_finished_detector,raw,0.3620689655172414,0.1896551724137931,0.1724137931034483,9.163383121048293e-05,58,win
simMed_test.mat,simMed_test.mat#11,11,0.0003,tpsscs_finished_detector,raw,0.4655172413793103,0.2413793103448276,0.22413793103448268,0.0002901737988331,58,win
simMed_test.mat,simMed_test.mat#11,11,0.001,tpsscs_finished_detector,raw,0.7068965517241379,0.293103448275862,0.4137931034482759,0.0009926998381135,58,win
simMed_test.mat,simMed_test.mat#11,11,0.003,tpsscs_finished_detector,raw,0.8448275862068966,0.3448275862068966,0.5,0.0029933718195424,58,win
simMed_test.mat,simMed_test.mat#11,11,0.01,tpsscs_finished_detector,raw,0.913793103448276,0.5689655172413793,0.3448275862068967,0.0099880876019426,58,win
simMed_test.mat,simMed_test.mat#110,110,1e-05,tpsscs_finished_detector,raw,0.1111111111111111,0.0634920634920634,0.0476190476190477,0.0,63,win
simMed_test.mat,simMed_test.mat#110,110,3e-05,tpsscs_finished_detector,raw,0.1428571428571428,0.0952380952380952,0.04761904761904759,1.5273471507338904e-05,63,win
simMed_test.mat,simMed_test.mat#110,110,0.0001,tpsscs_finished_detector,raw,0.2539682539682539,0.1746031746031746,0.0793650793650793,9.16408290440334e-05,63,win
simMed_test.mat,simMed_test.mat#110,110,0.0003,tpsscs_finished_detector,raw,0.4285714285714285,0.3174603174603174,0.1111111111111111,0.0002901959586394,63,win
simMed_test.mat,simMed_test.mat#110,110,0.001,tpsscs_finished_detector,raw,0.6984126984126984,0.4126984126984127,0.2857142857142857,0.000992775647977,63,win
simMed_test.mat,simMed_test.mat#110,110,0.003,tpsscs_finished_detector,raw,0.9206349206349206,0.4761904761904761,0.4444444444444445,0.0029936004154384,63,win
simMed_test.mat,simMed_test.mat#110,110,0.01,tpsscs_finished_detector,raw,0.9682539682539684,0.6031746031746031,0.3650793650793652,0.0099888503657996,63,win
simMed_test.mat,simMed_test.mat#111,111,1e-05,tpsscs_finished_detector,raw,0.1162790697674418,0.0697674418604651,0.0465116279069767,0.0,43,win
simMed_test.mat,simMed_test.mat#111,111,3e-05,tpsscs_finished_detector,raw,0.1395348837209302,0.0930232558139534,0.0465116279069768,1.526880735345762e-05,43,win
simMed_test.mat,simMed_test.mat#111,111,0.0001,tpsscs_finished_detector,raw,0.2325581395348837,0.1162790697674418,0.11627906976744189,9.161284412074572e-05,43,win
simMed_test.mat,simMed_test.mat#111,111,0.0003,tpsscs_finished_detector,raw,0.4651162790697674,0.1627906976744186,0.3023255813953488,0.0002901073397156,43,win
simMed_test.mat,simMed_test.mat#111,111,0.001,tpsscs_finished_detector,raw,0.5813953488372093,0.1860465116279069,0.3953488372093025,0.0009924724779747,43,win
simMed_test.mat,simMed_test.mat#111,111,0.003,tpsscs_finished_detector,raw,0.6976744186046512,0.2790697674418604,0.4186046511627908,0.0029926862412776,43,win
simMed_test.mat,simMed_test.mat#111,111,0.01,tpsscs_finished_detector,raw,0.7674418604651163,0.6744186046511628,0.09302325581395354,0.0099858000091612,43,win
simMed_test.mat,simMed_test.mat#112,112,1e-05,tpsscs_finished_detector,raw,0.1276595744680851,0.0,0.1276595744680851,0.0,47,win
simMed_test.mat,simMed_test.mat#112,112,3e-05,tpsscs_finished_detector,raw,0.1489361702127659,0.0425531914893617,0.10638297872340419,1.5269739956328543e-05,47,win
simMed_test.mat,simMed_test.mat#112,112,0.0001,tpsscs_finished_detector,raw,0.3829787234042553,0.0851063829787234,0.2978723404255319,9.161843973797126e-05,47,win
simMed_test.mat,simMed_test.mat#112,112,0.0003,tpsscs_finished_detector,raw,0.4680851063829787,0.2127659574468085,0.25531914893617014,0.0002901250591702,47,win
simMed_test.mat,simMed_test.mat#112,112,0.001,tpsscs_finished_detector,raw,0.7021276595744681,0.2765957446808511,0.425531914893617,0.0009925330971613,47,win
