label_budget,label_budget_positive_frames,asset,pfa_target,compact_pd,low_label_hgb_pd,delta_compact_minus_low_label_hgb,compact_empirical_pfa,low_label_hgb_empirical_pfa,n_items,n_pair_observations,n_seeds,compact_item_win_fraction,compact_pfa_calibrated,low_label_hgb_pfa_calibrated,compact_beats_low_label_hgb,pfa
4,4,simWind_test.mat,0.01,0.8663473290962685,0.9269531281224694,-0.06060579902620091,0.009992820396478945,0.009991608733585811,105,315,3,0.09841269841269841,True,True,False,0.01
4,4,simWind_test.mat,0.001,0.709979513423963,0.8391151593158623,-0.12913564589189935,0.0009923899783219553,0.0009921476096250465,105,315,3,0.05396825396825397,True,True,False,0.001
4,4,simWind_test.mat,0.003,0.812213539733551,0.8915641267573928,-0.07935058702384186,0.0029924374730939812,0.0029923890103093344,105,315,3,0.08888888888888889,True,True,False,0.003
4,4,simWind_test.mat,1e-05,0.18451921564993898,0.26961875692814186,-0.08509954127820286,0.0,0.0,105,315,3,0.33650793650793653,True,True,False,1e-05
4,4,combined,0.001,0.7028664531528073,0.791125107193107,-0.08825865404029966,0.0009923899783219553,0.0009921233556547387,210,630,3,0.15396825396825398,True,True,False,0.001
4,4,combined,0.003,0.813040071150322,0.8677551577921055,-0.054715086641783546,0.0029924374730939812,0.00299226782559068,210,630,3,0.1761904761904762,True,True,False,0.003
4,4,combined,0.01,0.8677902575913438,0.9298411392220133,-0.062050881630669526,0.009992820396478945,0.009991778441016438,210,630,3,0.10793650793650794,True,True,False,0.01
4,4,combined,1e-05,0.18453205303478548,0.2245406121832274,-0.040008559148441925,0.0,0.0,210,630,3,0.4222222222222222,True,True,False,1e-05
4,4,combined,0.0003,0.5261399631103596,0.6673644344940615,-0.1412244713837019,0.0002900832244325381,0.00028993782238407467,210,630,3,0.15714285714285714,True,True,False,0.0003
4,4,combined,0.0001,0.3681866997918742,0.5200633467697778,-0.15187664697790376,9.160522876818475e-05,9.153250276421979e-05,210,630,3,0.1634920634920635,True,True,False,0.0001
4,4,combined,3e-05,0.2358216637678027,0.32244721654880687,-0.0866255527810042,1.526753812803079e-05,1.5194838767514944e-05,210,630,3,0.30952380952380953,True,True,False,3e-05
4,4,simMed_test.mat,0.001,0.6957533928816516,0.7431350550703515,-0.04738166218869995,0.0009923899783219553,0.0009920991016844308,105,315,3,0.25396825396825395,True,True,False,0.001
4,4,simMed_test.mat,0.0003,0.5154646610355453,0.5972394585654895,-0.08177479752994414,0.0002900832244325381,0.0002898408757231735,105,315,3,0.26666666666666666,True,True,False,0.0003
4,4,simMed_test.mat,0.0001,0.3631281887560889,0.4496448359976231,-0.08651664724153427,9.160522876818475e-05,9.145977676025482e-05,105,315,3,0.27936507936507937,True,True,False,0.0001
4,4,simMed_test.mat,0.003,0.8138666025670928,0.843946188826818,-0.03007958625972523,0.0029924374730939812,0.0029921466408720245,105,315,3,0.2634920634920635,True,True,False,0.003
