label_budget,pfa,n_pair_observations,n_items,n_seeds,mean_delta_compact_minus_low_label_hgb,ci95_low,ci95_high,positive_fraction,nonnegative_fraction
32,0.0001,630,210,3,-0.2750305129856551,-0.28849648509765496,-0.2611891956028415,0.03015873015873016,0.05396825396825397
32,0.0003,630,210,3,-0.2421483977434468,-0.25385739874055674,-0.23070931092861627,0.02857142857142857,0.05555555555555555
32,0.001,630,210,3,-0.15002563416328404,-0.15900784855109426,-0.14119716268433247,0.04126984126984127,0.10317460317460317
32,0.003,630,210,3,-0.09431797581554925,-0.10257203339715462,-0.08717074012011865,0.07936507936507936,0.16031746031746033
32,0.01,630,210,3,-0.07865425644580243,-0.08612139313003633,-0.07171320171726912,0.05873015873015873,0.15714285714285714
64,1e-05,630,210,3,-0.12817634243938836,-0.14233080220920766,-0.11317430995444733,0.26031746031746034,0.28253968253968254
64,3e-05,630,210,3,-0.20042455172625576,-0.2143838992719775,-0.18731120323469946,0.09841269841269841,0.14126984126984127
64,0.0001,630,210,3,-0.2853896631732723,-0.2980695186687116,-0.27242591240025366,0.023809523809523808,0.03333333333333333
64,0.0003,630,210,3,-0.25545378018960485,-0.26778770805650526,-0.24380170795524858,0.012698412698412698,0.044444444444444446
64,0.001,630,210,3,-0.16246729221263795,-0.17115427145167073,-0.15349997914702573,0.025396825396825397,0.0761904761904762
64,0.003,630,210,3,-0.10557376684671571,-0.11371321032882499,-0.09793478477183218,0.047619047619047616,0.12222222222222222
64,0.01,630,210,3,-0.0889489903966136,-0.09632680915074139,-0.08212555204383501,0.03968253968253968,0.1
all,1e-05,630,210,3,-0.1364587881937136,-0.15063376059058764,-0.1210733385783519,0.24603174603174602,0.2746031746031746
all,3e-05,630,210,3,-0.1940285790752941,-0.20837194899471131,-0.1795836705394461,0.1126984126984127,0.14285714285714285
all,0.0001,630,210,3,-0.2864597743933504,-0.29900028888877717,-0.2742676964573745,0.015873015873015872,0.031746031746031744
all,0.0003,630,210,3,-0.25416345201921003,-0.26612709518094546,-0.24290608536281388,0.015873015873015872,0.04126984126984127
all,0.001,630,210,3,-0.16698111602940466,-0.17601493296933557,-0.1579964201266147,0.01746031746031746,0.05238095238095238
all,0.003,630,210,3,-0.10946660352054702,-0.11782946919657072,-0.10178677852591791,0.044444444444444446,0.09841269841269841
all,0.01,630,210,3,-0.09361391701059733,-0.10079673176922212,-0.08655920235130565,0.023809523809523808,0.08571428571428572
