calibration_mode,residual_safety_factor,gate_margin_scale,asset,pfa_target,method,pd_mean,empirical_pfa_mean,empirical_pfa_max,false_alarms_total,background_count_total,n_items
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.01,low_rank_residual_k30,0.537560630735548,0.0009025256280355355,0.005222490303270928,6206,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.01,raw,0.10686289059959145,2.573914078622439e-05,0.00013738570272786945,177,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.01,tpsscs_finished_detector,0.6072335426266274,0.0009257924518883546,0.005268301621720673,6366,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,combined,1e-05,low_rank_residual_k30,0.41846706759468344,0.0005251444269687086,0.0031004200076365025,7222,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,1e-05,raw,0.06353575246875087,9.961161586477536e-06,9.162263689948997e-05,137,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,1e-05,tpsscs_finished_detector,0.458897581453492,0.00052878008612867,0.0031004200076365025,7272,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,3e-05,low_rank_residual_k30,0.41846706759468344,0.0005251444269687086,0.0031004200076365025,7222,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,3e-05,raw,0.06353575246875087,9.961161586477536e-06,9.162263689948997e-05,137,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,3e-05,tpsscs_finished_detector,0.458897581453492,0.00052878008612867,0.0031004200076365025,7272,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,0.0001,low_rank_residual_k30,0.41846706759468344,0.0005251444269687086,0.0031004200076365025,7222,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,0.0001,raw,0.06353575246875087,9.961161586477536e-06,9.162263689948997e-05,137,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,0.0001,tpsscs_finished_detector,0.458897581453492,0.00052878008612867,0.0031004200076365025,7272,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,0.0003,low_rank_residual_k30,0.41846706759468344,0.0005251444269687086,0.0031004200076365025,7222,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,0.0003,raw,0.06353575246875087,9.961161586477536e-06,9.162263689948997e-05,137,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,0.0003,tpsscs_finished_detector,0.458897581453492,0.00052878008612867,0.0031004200076365025,7272,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,0.001,low_rank_residual_k30,0.42205691892953273,0.0005350332784699751,0.003161512027491409,7358,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,0.001,raw,0.0656630799637862,1.0979082111795175e-05,0.00012212062464699507,151,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,0.001,tpsscs_finished_detector,0.46190525152874073,0.0005386689376299364,0.003161512027491409,7408,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,0.003,low_rank_residual_k30,0.4546006982513275,0.0006263615948425524,0.00352763312615488,8614,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,0.003,raw,0.08240637261303958,1.606880909289988e-05,0.00021378615276547658,221,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,0.003,tpsscs_finished_detector,0.4920893090585049,0.0006297791081945584,0.00352763312615488,8661,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,0.01,low_rank_residual_k30,0.513331233955522,0.0008391188176972804,0.005222490303270928,11540,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,0.01,raw,0.12220554283184845,4.544282647510391e-05,0.0004428427450142015,625,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,0.01,tpsscs_finished_detector,0.5476028541926818,0.0008423909127243071,0.005253031182237425,11585,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,1e-05,low_rank_residual_k30,0.382876722927808,0.0004559209719533609,0.0026266359207733304,3135,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,1e-05,raw,0.07447260513022674,1.410569662319166e-05,9.162263689948997e-05,97,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,1e-05,tpsscs_finished_detector,0.4263700768907633,0.00045970201946332346,0.0026266359207733304,3161,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,3e-05,low_rank_residual_k30,0.382876722927808,0.0004559209719533609,0.0026266359207733304,3135,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,3e-05,raw,0.07447260513022674,1.410569662319166e-05,9.162263689948997e-05,97,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,3e-05,tpsscs_finished_detector,0.4263700768907633,0.00045970201946332346,0.0026266359207733304,3161,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,0.0001,low_rank_residual_k30,0.382876722927808,0.0004559209719533609,0.0026266359207733304,3135,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,0.0001,raw,0.07447260513022674,1.410569662319166e-05,9.162263689948997e-05,97,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,0.0001,tpsscs_finished_detector,0.4263700768907633,0.00045970201946332346,0.0026266359207733304,3161,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,0.0003,low_rank_residual_k30,0.382876722927808,0.0004559209719533609,0.0026266359207733304,3135,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,0.0003,raw,0.07447260513022674,1.410569662319166e-05,9.162263689948997e-05,97,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,0.0003,tpsscs_finished_detector,0.4263700768907633,0.00045970201946332346,0.0026266359207733304,3161,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,0.001,low_rank_residual_k30,0.384244731368935,0.0004592657611111655,0.002641907059847594,3158,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,0.001,raw,0.07833043472347202,1.614153767382694e-05,0.00012212062464699507,111,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,0.001,tpsscs_finished_detector,0.4275793551731601,0.00046304680862112806,0.002641907059847594,3184,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,0.003,low_rank_residual_k30,0.42597086160014863,0.0005673178858308256,0.003222210344669609,3901,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,0.003,raw,0.08800732803513589,2.0940416872995162e-05,0.00021378615276547658,144,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,0.003,tpsscs_finished_detector,0.46637640661928254,0.0005708080589377673,0.003222210344669609,3925,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,0.01,low_rank_residual_k30,0.48910183717549605,0.0007757120073590253,0.004153749828199685,5334,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,0.01,raw,0.13754819506410546,6.514651216398344e-05,0.0004428427450142015,448,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simMed_test.mat,0.01,tpsscs_finished_detector,0.526596945808361,0.0007790567787938477,0.004153749828199685,5357,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simWind_test.mat,1e-05,low_rank_residual_k30,0.4540574122615589,0.0005943678819840563,0.0031004200076365025,4087,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simWind_test.mat,1e-05,raw,0.052598899807274994,5.816626549763409e-06,3.054694301467781e-05,40,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,simWind_test.mat,1e-05,tpsscs_finished_detector,0.49142508601622087,0.0005978581527940166,0.0031004200076365025,4111,6877337,105
