calibration_mode,calibration_asset,asset,image_index,item_id,method,pfa_target,pd,empirical_pfa,target_count,background_count,false_alarms,detections,threshold_policy
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,low_rank_residual_k30,0.0001,0.625,0.00047319575039687386,24,65512,31,46,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,tpsscs_finished_detector,0.0001,0.6666666666666666,0.0004884601294419343,24,65512,32,48,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,raw,0.0003,0.3333333333333333,0.00018317254854072538,24,65512,12,20,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,low_rank_residual_k30,0.0003,0.7916666666666666,0.000717425815117841,24,65512,47,66,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,tpsscs_finished_detector,0.0003,0.8333333333333334,0.0007326901941629015,24,65512,48,68,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,raw,0.001,0.3333333333333333,0.0006411039198925387,24,65512,42,50,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,low_rank_residual_k30,0.001,0.9166666666666666,0.0018317254854072536,24,65512,120,142,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,tpsscs_finished_detector,0.001,0.9166666666666666,0.001846989864452314,24,65512,121,143,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,raw,0.003,0.4583333333333333,0.0026407375747954575,24,65512,173,184,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,low_rank_residual_k30,0.003,0.9166666666666666,0.0038313591403101722,24,65512,251,273,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,tpsscs_finished_detector,0.003,0.9166666666666666,0.0038313591403101722,24,65512,251,273,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,raw,0.01,0.7916666666666666,0.00950970814507266,24,65512,623,642,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,low_rank_residual_k30,0.01,1.0,0.011539870558065699,24,65512,756,780,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,tpsscs_finished_detector,0.01,1.0,0.011539870558065699,24,65512,756,780,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,raw,1e-05,0.043478260869565216,1.526414604734938e-05,23,65513,1,2,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,low_rank_residual_k30,1e-05,0.7391304347826086,0.0005647734037519272,23,65513,37,54,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,tpsscs_finished_detector,1e-05,0.782608695652174,0.0006105658418939752,23,65513,40,58,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,raw,3e-05,0.043478260869565216,4.5792438142048146e-05,23,65513,3,4,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,low_rank_residual_k30,3e-05,0.7391304347826086,0.0009311129088883123,23,65513,61,78,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,tpsscs_finished_detector,3e-05,0.782608695652174,0.0009769053470303603,23,65513,64,82,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,raw,0.0001,0.043478260869565216,0.0001679056065208432,23,65513,11,12,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,low_rank_residual_k30,0.0001,0.782608695652174,0.0013279807061193961,23,65513,87,105,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,tpsscs_finished_detector,0.0001,0.8260869565217391,0.0013737731442614444,23,65513,90,109,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,raw,0.0003,0.08695652173913043,0.000518980965609879,23,65513,34,36,target_free_background_fixed_threshold
