asset,item_id,image_index,target_count,pfa_target,target_pd,comparator_pd,comparator,delta_pd
simMed_test.mat,simMed_test.mat#101,101,51,3e-05,0.1176470588235294,0.1372549019607843,tpsscs_trainable_gate,-0.0196078431372549
simMed_test.mat,simMed_test.mat#101,101,51,0.0001,0.2941176470588235,0.4117647058823529,tpsscs_trainable_gate,-0.11764705882352944
simMed_test.mat,simMed_test.mat#101,101,51,0.0003,0.4509803921568627,0.5490196078431373,tpsscs_trainable_gate,-0.0980392156862746
simMed_test.mat,simMed_test.mat#101,101,51,0.001,0.6862745098039216,0.8235294117647058,tpsscs_trainable_gate,-0.13725490196078427
simMed_test.mat,simMed_test.mat#101,101,51,0.003,0.8823529411764706,0.9019607843137256,tpsscs_trainable_gate,-0.019607843137255054
simMed_test.mat,simMed_test.mat#101,101,51,0.01,0.8823529411764706,0.9019607843137256,tpsscs_trainable_gate,-0.019607843137255054
simMed_test.mat,simMed_test.mat#102,102,39,1e-05,0.2051282051282051,0.0769230769230769,low_rank_residual_k30,0.1282051282051282
simMed_test.mat,simMed_test.mat#102,102,39,3e-05,0.2051282051282051,0.0769230769230769,low_rank_residual_k30,0.1282051282051282
simMed_test.mat,simMed_test.mat#102,102,39,0.0001,0.358974358974359,0.282051282051282,low_rank_residual_k30,0.07692307692307698
simMed_test.mat,simMed_test.mat#102,102,39,0.0003,0.4358974358974359,0.4358974358974359,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#102,102,39,0.001,0.717948717948718,0.717948717948718,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#102,102,39,0.003,0.7948717948717948,0.7948717948717948,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#102,102,39,0.01,0.8717948717948718,0.8717948717948718,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#102,102,39,1e-05,0.2051282051282051,0.0256410256410256,raw,0.1794871794871795
simMed_test.mat,simMed_test.mat#102,102,39,3e-05,0.2051282051282051,0.0512820512820512,raw,0.1538461538461539
simMed_test.mat,simMed_test.mat#102,102,39,0.0001,0.358974358974359,0.2307692307692307,raw,0.12820512820512828
simMed_test.mat,simMed_test.mat#102,102,39,0.0003,0.4358974358974359,0.2564102564102564,raw,0.17948717948717952
simMed_test.mat,simMed_test.mat#102,102,39,0.001,0.717948717948718,0.358974358974359,raw,0.358974358974359
simMed_test.mat,simMed_test.mat#102,102,39,0.003,0.7948717948717948,0.5128205128205128,raw,0.28205128205128205
simMed_test.mat,simMed_test.mat#102,102,39,0.01,0.8717948717948718,0.5897435897435898,raw,0.28205128205128205
