asset,pfa_target,method,method_family,pd_mean,empirical_pfa_mean,n_items
simMed_test.mat,3e-05,raw_goca_cfar_local,classical_local_cfar,0.1076274088906929,1.526753812803079e-05,105
simMed_test.mat,3e-05,raw_os75_cfar_local,classical_local_cfar,0.11592608743611071,1.526753812803079e-05,105
simMed_test.mat,3e-05,raw_soca_cfar_local,classical_local_cfar,0.005327378470220072,1.526753812803079e-05,105
simMed_test.mat,3e-05,tpsscs_finished_detector,proposed,0.23292866331646775,1.526753812803079e-05,105
simMed_test.mat,0.0001,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.2935145957420575,9.160522876818475e-05,105
simMed_test.mat,0.0001,low_rank_residual_k30_global_topk,global,0.2943857234377076,9.160522876818475e-05,105
simMed_test.mat,0.0001,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.28952948313921983,9.160522876818475e-05,105
simMed_test.mat,0.0001,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.29888625522916534,9.160522876818475e-05,105
simMed_test.mat,0.0001,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.0055109584650733755,9.160522876818475e-05,105
simMed_test.mat,0.0001,raw_ca_cfar_local,classical_local_cfar,0.20567502719181355,9.160522876818475e-05,105
simMed_test.mat,0.0001,raw_global_topk,global,0.19556315067817254,9.160522876818475e-05,105
simMed_test.mat,0.0001,raw_goca_cfar_local,classical_local_cfar,0.1991552630082605,9.160522876818475e-05,105
simMed_test.mat,0.0001,raw_os75_cfar_local,classical_local_cfar,0.21504703268337666,9.160522876818475e-05,105
simMed_test.mat,0.0001,raw_soca_cfar_local,classical_local_cfar,0.006473999514470589,9.160522876818475e-05,105
simMed_test.mat,0.0001,tpsscs_finished_detector,proposed,0.3631281887560889,9.160522876818475e-05,105
simMed_test.mat,0.0003,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.4577281769626305,0.00029008322443258505,105
simMed_test.mat,0.0003,low_rank_residual_k30_global_topk,global,0.45748134897575243,0.00029008322443258505,105
simMed_test.mat,0.0003,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.4488996759063244,0.00029008322443258505,105
simMed_test.mat,0.0003,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.45909349605340555,0.00029008322443258505,105
simMed_test.mat,0.0003,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.0055109584650733755,0.00029008322443258505,105
simMed_test.mat,0.0003,raw_ca_cfar_local,classical_local_cfar,0.333570157859788,0.00029008322443258505,105
simMed_test.mat,0.0003,raw_global_topk,global,0.2685671393591548,0.00029008322443258505,105
simMed_test.mat,0.0003,raw_goca_cfar_local,classical_local_cfar,0.3267179834775907,0.00029008322443258505,105
simMed_test.mat,0.0003,raw_os75_cfar_local,classical_local_cfar,0.3434777902930234,0.00029008322443258505,105
simMed_test.mat,0.0003,raw_soca_cfar_local,classical_local_cfar,0.007928332897248444,0.00029008322443258505,105
simMed_test.mat,0.0003,tpsscs_finished_detector,proposed,0.5154646610355453,0.00029008322443258505,105
simMed_test.mat,0.001,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.6638353269610386,0.0009923899783220015,105
simMed_test.mat,0.001,low_rank_residual_k30_global_topk,global,0.6488084401825713,0.0009923899783220015,105
simMed_test.mat,0.001,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.651187922712495,0.0009923899783220015,105
simMed_test.mat,0.001,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.6662843162471395,0.0009923899783220015,105
simMed_test.mat,0.001,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.006170299124414035,0.0009923899783220015,105
simMed_test.mat,0.001,raw_ca_cfar_local,classical_local_cfar,0.5379912978290595,0.0009923899783220015,105
simMed_test.mat,0.001,raw_global_topk,global,0.35694212605591935,0.0009923899783220015,105
simMed_test.mat,0.001,raw_goca_cfar_local,classical_local_cfar,0.5120814138898979,0.0009923899783220015,105
simMed_test.mat,0.001,raw_os75_cfar_local,classical_local_cfar,0.516576003990256,0.0009923899783220015,105
simMed_test.mat,0.001,raw_soca_cfar_local,classical_local_cfar,0.008593038138612723,0.0009923899783220015,105
simMed_test.mat,0.001,tpsscs_finished_detector,proposed,0.6957533928816516,0.0009923899783220015,105
simMed_test.mat,0.003,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.7826915597718721,0.002992437473094035,105
simMed_test.mat,0.003,low_rank_residual_k30_global_topk,global,0.7763674110573479,0.002992437473094035,105
simMed_test.mat,0.003,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.7690288147914014,0.002992437473094035,105
simMed_test.mat,0.003,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.7882172721197522,0.002992437473094035,105
simMed_test.mat,0.003,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.006170299124414035,0.002992437473094035,105
simMed_test.mat,0.003,raw_ca_cfar_local,classical_local_cfar,0.6599231651023713,0.002992437473094035,105
simMed_test.mat,0.003,raw_global_topk,global,0.4673269223287094,0.002992437473094035,105
simMed_test.mat,0.003,raw_goca_cfar_local,classical_local_cfar,0.6295428365372249,0.002992437473094035,105
simMed_test.mat,0.003,raw_os75_cfar_local,classical_local_cfar,0.6423787688905932,0.002992437473094035,105
simMed_test.mat,0.003,raw_soca_cfar_local,classical_local_cfar,0.0090692286148032,0.002992437473094035,105
