pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,asset,image_index,item_id,method,method_family,training_cells,guard_cells,os_percentile,residual_threshold,gate_threshold
0.01,15.37067454276411,0.8372093023255814,0.009985800009161284,43,65493,654,654,690,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_os75_cfar_local,classical_local_cfar,6,2,75.0,,
1e-05,372.9883663395769,0.046511627906976744,0.0,43,65493,0,0,2,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,6,2,75.0,,
3e-05,216.86494511198586,0.13953488372093023,1.526880735345762e-05,43,65493,1,1,7,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0001,172.0353052098053,0.18604651162790697,9.161284412074573e-05,43,65493,6,6,14,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0003,77.59703880846557,0.46511627906976744,0.0002901073397156948,43,65493,19,19,39,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.001,28.467043782068956,0.6976744186046512,0.0009924724779747454,43,65493,65,65,95,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.003,8.329710801147337,0.9534883720930233,0.0029926862412776936,43,65493,196,196,237,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.01,4.520150305239797,0.9767441860465116,0.009985800009161284,43,65493,654,654,696,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,6,2,75.0,,
1e-05,287.61267131509163,0.046511627906976744,0.0,43,65493,0,0,2,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,6,2,75.0,,
3e-05,196.93610316271406,0.09302325581395349,1.526880735345762e-05,43,65493,1,1,5,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0001,120.06850264799827,0.23255813953488372,9.161284412074573e-05,43,65493,6,6,16,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0003,69.13207577206495,0.4418604651162791,0.0002901073397156948,43,65493,19,19,38,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.001,22.206678812288935,0.6744186046511628,0.0009924724779747454,43,65493,65,65,94,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.003,6.77626270586957,0.9069767441860465,0.0029926862412776936,43,65493,196,196,235,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.01,3.927141327346975,0.9534883720930233,0.009985800009161284,43,65493,654,654,695,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,6,2,75.0,,
1e-05,683589370976914.2,0.023255813953488372,0.0,43,65493,0,0,1,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,6,2,75.0,,
3e-05,609177407148227.5,0.023255813953488372,1.526880735345762e-05,43,65493,1,1,2,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0001,15732143223268.844,0.023255813953488372,9.161284412074573e-05,43,65493,6,6,7,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0003,10005302774299.566,0.023255813953488372,0.0002901073397156948,43,65493,19,19,20,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,6,2,75.0,,
0.001,6578324944007.867,0.023255813953488372,0.0009924724779747454,43,65493,65,65,66,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,6,2,75.0,,
0.003,4590031470263.114,0.023255813953488372,0.0029926862412776936,43,65493,196,196,197,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,6,2,75.0,,
0.01,3003716811912.213,0.023255813953488372,0.009985800009161284,43,65493,654,654,655,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,6,2,75.0,,
1e-05,321.5167310547155,0.13953488372093023,0.0,43,65493,0,0,6,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,6,2,75.0,,
3e-05,288.5074389136921,0.13953488372093023,1.526880735345762e-05,43,65493,1,1,7,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,6,2,75.0,,
0.0001,143.74663000286233,0.23255813953488372,9.161284412074573e-05,43,65493,6,6,16,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,6,2,75.0,,
0.0003,63.013797150025205,0.5116279069767442,0.0002901073397156948,43,65493,19,19,41,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,6,2,75.0,,
0.001,28.436785179278846,0.7209302325581395,0.0009924724779747454,43,65493,65,65,96,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,6,2,75.0,,
0.003,7.446303444782301,0.9534883720930233,0.0029926862412776936,43,65493,196,196,237,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,6,2,75.0,,
0.01,4.00837315165609,0.9767441860465116,0.009985800009161284,43,65493,654,654,696,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,6,2,75.0,,
1e-05,,0.16279069767441862,0.0,43,65493,0,0,7,residual_cfar_plus_zero_false_gate_union,simMed_test.mat,0,simMed_test.mat#0,tpsscs_finished_detector,proposed,6,2,75.0,890.9266426032286,12193.851645259017
3e-05,,0.16279069767441862,1.526880735345762e-05,43,65493,1,1,8,residual_cfar_plus_zero_false_gate_union,simMed_test.mat,0,simMed_test.mat#0,tpsscs_finished_detector,proposed,6,2,75.0,756.4363690708125,12193.851645259017
0.0001,,0.2558139534883721,9.161284412074573e-05,43,65493,6,6,17,residual_cfar_plus_zero_false_gate_union,simMed_test.mat,0,simMed_test.mat#0,tpsscs_finished_detector,proposed,6,2,75.0,401.58019833356786,12193.851645259017
0.0003,,0.4883720930232558,0.0002901073397156948,43,65493,19,19,40,residual_cfar_plus_zero_false_gate_union,simMed_test.mat,0,simMed_test.mat#0,tpsscs_finished_detector,proposed,6,2,75.0,168.71687561749457,12193.851645259017
0.001,,0.7906976744186046,0.0009924724779747454,43,65493,65,65,99,residual_cfar_plus_zero_false_gate_union,simMed_test.mat,0,simMed_test.mat#0,tpsscs_finished_detector,proposed,6,2,75.0,70.9989880511938,12193.851645259017
0.003,,0.9767441860465116,0.0029926862412776936,43,65493,196,196,238,residual_cfar_plus_zero_false_gate_union,simMed_test.mat,0,simMed_test.mat#0,tpsscs_finished_detector,proposed,6,2,75.0,25.79942667387031,12193.851645259017
0.01,,0.9767441860465116,0.009985800009161284,43,65493,654,654,696,residual_cfar_plus_zero_false_gate_union,simMed_test.mat,0,simMed_test.mat#0,tpsscs_finished_detector,proposed,6,2,75.0,13.510826675563507,12193.851645259017
1e-05,5767.716068131507,0.14285714285714285,0.0,28,65508,0,0,4,conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_global_topk,global,6,2,75.0,,
3e-05,5007.354253831199,0.14285714285714285,1.526531110704036e-05,28,65508,1,1,5,conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_global_topk,global,6,2,75.0,,
0.0001,3804.0887241894134,0.2857142857142857,9.159186664224217e-05,28,65508,6,6,14,conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_global_topk,global,6,2,75.0,,
0.0003,2519.6919889226274,0.35714285714285715,0.00029004091103376685,28,65508,19,19,29,conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_global_topk,global,6,2,75.0,,
0.001,1959.6042611840892,0.39285714285714285,0.0009922452219576234,28,65508,65,65,76,conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_global_topk,global,6,2,75.0,,
0.003,1269.1020529208067,0.5357142857142857,0.002992000976979911,28,65508,196,196,211,conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_global_topk,global,6,2,75.0,,
0.01,677.3535412814836,0.6071428571428571,0.009998778775111437,28,65508,655,655,672,conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_global_topk,global,6,2,75.0,,
1e-05,58.45779879601446,0.10714285714285714,0.0,28,65508,0,0,3,conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,low_rank_residual_k30_global_topk,global,6,2,75.0,,
3e-05,51.657806714739834,0.10714285714285714,1.526531110704036e-05,28,65508,1,1,4,conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,low_rank_residual_k30_global_topk,global,6,2,75.0,,
0.0001,29.64028800019549,0.25,9.159186664224217e-05,28,65508,6,6,13,conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,low_rank_residual_k30_global_topk,global,6,2,75.0,,
0.0003,18.892973551323827,0.5357142857142857,0.00029004091103376685,28,65508,19,19,34,conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,low_rank_residual_k30_global_topk,global,6,2,75.0,,
0.001,9.977238131498918,0.75,0.0009922452219576234,28,65508,65,65,86,conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,low_rank_residual_k30_global_topk,global,6,2,75.0,,
0.003,6.550358049466967,0.8571428571428571,0.002992000976979911,28,65508,196,196,220,conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,low_rank_residual_k30_global_topk,global,6,2,75.0,,
0.01,4.49886853701074,0.8928571428571429,0.009998778775111437,28,65508,655,655,680,conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,low_rank_residual_k30_global_topk,global,6,2,75.0,,
1e-05,195.1243200865793,0.07142857142857142,0.0,28,65508,0,0,2,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_ca_cfar_local,classical_local_cfar,6,2,75.0,,
3e-05,120.48965345127947,0.10714285714285714,1.526531110704036e-05,28,65508,1,1,4,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0001,50.69126475076331,0.21428571428571427,9.159186664224217e-05,28,65508,6,6,12,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0003,31.121764025598765,0.35714285714285715,0.00029004091103376685,28,65508,19,19,29,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.001,21.148968734000025,0.39285714285714285,0.0009922452219576234,28,65508,65,65,76,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.003,14.560624557778203,0.5357142857142857,0.002992000976979911,28,65508,196,196,211,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.01,7.876823086244183,0.6071428571428571,0.009998778775111437,28,65508,655,655,672,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_ca_cfar_local,classical_local_cfar,6,2,75.0,,
1e-05,158.15186815287615,0.07142857142857142,0.0,28,65508,0,0,2,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_goca_cfar_local,classical_local_cfar,6,2,75.0,,
3e-05,87.36239734880677,0.10714285714285714,1.526531110704036e-05,28,65508,1,1,4,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0001,34.409761035907465,0.21428571428571427,9.159186664224217e-05,28,65508,6,6,12,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0003,23.174555385736106,0.35714285714285715,0.00029004091103376685,28,65508,19,19,29,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.001,15.451632139307602,0.35714285714285715,0.0009922452219576234,28,65508,65,65,75,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.003,10.13161489220758,0.42857142857142855,0.002992000976979911,28,65508,196,196,208,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.01,5.620664631219183,0.6071428571428571,0.009998778775111437,28,65508,655,655,672,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_goca_cfar_local,classical_local_cfar,6,2,75.0,,
1e-05,832000320728319.9,0.0,0.0,28,65508,0,0,0,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_soca_cfar_local,classical_local_cfar,6,2,75.0,,
3e-05,810922833155095.8,0.0,1.526531110704036e-05,28,65508,1,1,1,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_soca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0001,173085864496420.3,0.0,9.159186664224217e-05,28,65508,6,6,6,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_soca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0003,55940295993486.086,0.0,0.00029004091103376685,28,65508,19,19,19,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_soca_cfar_local,classical_local_cfar,6,2,75.0,,
0.001,6846123068251.537,0.0,0.0009922452219576234,28,65508,65,65,65,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_soca_cfar_local,classical_local_cfar,6,2,75.0,,
0.003,3539996038302.5776,0.0,0.002992000976979911,28,65508,196,196,196,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_soca_cfar_local,classical_local_cfar,6,2,75.0,,
0.01,2468424096847.66,0.0,0.009998778775111437,28,65508,655,655,655,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_soca_cfar_local,classical_local_cfar,6,2,75.0,,
1e-05,242.5713884053627,0.10714285714285714,0.0,28,65508,0,0,3,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_os75_cfar_local,classical_local_cfar,6,2,75.0,,
3e-05,177.94453094466311,0.14285714285714285,1.526531110704036e-05,28,65508,1,1,5,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_os75_cfar_local,classical_local_cfar,6,2,75.0,,
0.0001,93.41106636160059,0.25,9.159186664224217e-05,28,65508,6,6,13,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_os75_cfar_local,classical_local_cfar,6,2,75.0,,
0.0003,73.77338577421978,0.32142857142857145,0.00029004091103376685,28,65508,19,19,28,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_os75_cfar_local,classical_local_cfar,6,2,75.0,,
0.001,46.908342065444046,0.35714285714285715,0.0009922452219576234,28,65508,65,65,75,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_os75_cfar_local,classical_local_cfar,6,2,75.0,,
0.003,30.947717537585373,0.4642857142857143,0.002992000976979911,28,65508,196,196,209,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_os75_cfar_local,classical_local_cfar,6,2,75.0,,
0.01,16.071488892165757,0.6071428571428571,0.009998778775111437,28,65508,655,655,672,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,raw_os75_cfar_local,classical_local_cfar,6,2,75.0,,
1e-05,42.26462040425648,0.10714285714285714,0.0,28,65508,0,0,3,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,3,simMed_test.mat#3,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,6,2,75.0,,
