label_budget,asset,item_id,image_index,seed,low_label_hgb_auc,compact_auc,pfa_points,delta_compact_minus_low_label_hgb_auc
16,simWind_test.mat,simWind_test.mat#95,95,20260717,0.5575103914165235,0.5832375178965054,7,0.025727126479981877
16,simWind_test.mat,simWind_test.mat#95,95,20260718,0.38594176396554314,0.5832375178965054,7,0.19729575393096221
16,simWind_test.mat,simWind_test.mat#95,95,20260719,0.44197786084867535,0.5832375178965054,7,0.14125965704783
16,simWind_test.mat,simWind_test.mat#97,97,20260717,0.4350584958853792,0.45728071810760146,7,0.022222222222222254
16,simWind_test.mat,simWind_test.mat#97,97,20260718,0.4339873673476062,0.45728071810760146,7,0.02329335075999528
16,simWind_test.mat,simWind_test.mat#97,97,20260719,0.4543758361893773,0.45728071810760146,7,0.0029048819182241337
16,simWind_test.mat,simWind_test.mat#99,99,20260717,0.37350252028270603,0.5294665359667018,7,0.15596401568399576
16,simWind_test.mat,simWind_test.mat#99,99,20260718,0.36535984316004216,0.5294665359667018,7,0.16410669280665963
16,simWind_test.mat,simWind_test.mat#99,99,20260719,0.3427291608093797,0.5294665359667018,7,0.18673737515732208
2,simMed_test.mat,simMed_test.mat#0,0,20260717,0.08783004347659829,0.5438013801736892,7,0.4559713366970909
2,simMed_test.mat,simMed_test.mat#0,0,20260718,0.16413377354795536,0.5438013801736892,7,0.37966760662573384
2,simMed_test.mat,simMed_test.mat#0,0,20260719,0.2525716419113558,0.5438013801736892,7,0.2912297382623334
2,simMed_test.mat,simMed_test.mat#100,100,20260717,0.16896893034267546,0.5454026055235656,7,0.3764336751808901
2,simMed_test.mat,simMed_test.mat#100,100,20260718,0.16518724382897856,0.5454026055235656,7,0.38021536169458703
2,simMed_test.mat,simMed_test.mat#100,100,20260719,0.28739707882368914,0.5454026055235656,7,0.2580055266998764
2,simMed_test.mat,simMed_test.mat#101,101,20260717,0.004976727925752736,0.48991879023272383,7,0.4849420623069711
2,simMed_test.mat,simMed_test.mat#101,101,20260718,0.14477371269546344,0.48991879023272383,7,0.3451450775372604
2,simMed_test.mat,simMed_test.mat#101,101,20260719,0.054081993093882674,0.48991879023272383,7,0.43583679713884116
2,simMed_test.mat,simMed_test.mat#102,102,20260717,0.013407147314880442,0.5110890913559349,7,0.4976819440410545
2,simMed_test.mat,simMed_test.mat#102,102,20260718,0.18038137223799341,0.5110890913559349,7,0.3307077191179415
2,simMed_test.mat,simMed_test.mat#102,102,20260719,0.04206487683420965,0.5110890913559349,7,0.46902421452172527
2,simMed_test.mat,simMed_test.mat#104,104,20260717,0.1053161579242959,0.6354686828928315,7,0.5301525249685356
2,simMed_test.mat,simMed_test.mat#104,104,20260718,0.25956464106884275,0.6354686828928315,7,0.3759040418239888
2,simMed_test.mat,simMed_test.mat#104,104,20260719,0.24244039949656934,0.6354686828928315,7,0.39302828339626217
2,simMed_test.mat,simMed_test.mat#105,105,20260717,0.1199096712020707,0.6052039577887569,7,0.4852942865866862
2,simMed_test.mat,simMed_test.mat#105,105,20260718,0.2242336772492762,0.6052039577887569,7,0.3809702805394807
2,simMed_test.mat,simMed_test.mat#105,105,20260719,0.33932497538670775,0.6052039577887569,7,0.26587898240204916
2,simMed_test.mat,simMed_test.mat#107,107,20260717,0.03997165373497858,0.46538651302752426,7,0.4254148592925457
2,simMed_test.mat,simMed_test.mat#107,107,20260718,0.21608688278100407,0.46538651302752426,7,0.2492996302465202
2,simMed_test.mat,simMed_test.mat#107,107,20260719,0.12787363053499579,0.46538651302752426,7,0.3375128824925285
2,simMed_test.mat,simMed_test.mat#108,108,20260717,0.12061009987414233,0.572592924465105,7,0.4519828245909627
2,simMed_test.mat,simMed_test.mat#108,108,20260718,0.1262313077355094,0.572592924465105,7,0.4463616167295956
2,simMed_test.mat,simMed_test.mat#108,108,20260719,0.2081919163520225,0.572592924465105,7,0.3644010081130825
2,simMed_test.mat,simMed_test.mat#11,11,20260717,0.10718608070348219,0.5187630561425723,7,0.41157697543909016
2,simMed_test.mat,simMed_test.mat#11,11,20260718,0.14506835070992677,0.5187630561425723,7,0.3736947054326456
2,simMed_test.mat,simMed_test.mat#11,11,20260719,0.2318573630988797,0.5187630561425723,7,0.2869056930436926
2,simMed_test.mat,simMed_test.mat#110,110,20260717,0.11845999296172342,0.5006228895374026,7,0.3821628965756792
2,simMed_test.mat,simMed_test.mat#110,110,20260718,0.13644259531263453,0.5006228895374026,7,0.3641802942247681
2,simMed_test.mat,simMed_test.mat#110,110,20260719,0.1949374665566405,0.5006228895374026,7,0.3056854229807622
2,simMed_test.mat,simMed_test.mat#111,111,20260717,0.026346603444358085,0.42883955375135435,7,0.4024929503069963
2,simMed_test.mat,simMed_test.mat#111,111,20260718,0.1495924316949177,0.42883955375135435,7,0.27924712205643665
2,simMed_test.mat,simMed_test.mat#111,111,20260719,0.03445325065800673,0.42883955375135435,7,0.3943863030933476
2,simMed_test.mat,simMed_test.mat#112,112,20260717,0.12170320012030045,0.5243595472363576,7,0.40265634711605713
2,simMed_test.mat,simMed_test.mat#112,112,20260718,0.15185686109961755,0.5243595472363576,7,0.37250268613674004
2,simMed_test.mat,simMed_test.mat#112,112,20260719,0.2383306422116683,0.5243595472363576,7,0.28602890502468925
2,simMed_test.mat,simMed_test.mat#113,113,20260717,0.07874278245716292,0.41207611579049624,7,0.3333333333333333
2,simMed_test.mat,simMed_test.mat#113,113,20260718,0.1444913389485955,0.41207611579049624,7,0.26758477684190074
2,simMed_test.mat,simMed_test.mat#113,113,20260719,0.1325865770438336,0.41207611579049624,7,0.27948953874666266
2,simMed_test.mat,simMed_test.mat#114,114,20260717,0.10490810748593683,0.6068146695926316,7,0.5019065621066948
2,simMed_test.mat,simMed_test.mat#114,114,20260718,0.15026655048892013,0.6068146695926316,7,0.4565481191037115
2,simMed_test.mat,simMed_test.mat#114,114,20260719,0.1758354335689217,0.6068146695926316,7,0.4309792360237099
2,simMed_test.mat,simMed_test.mat#115,115,20260717,0.011883607847280389,0.32060835177215696,7,0.3087247439248766
2,simMed_test.mat,simMed_test.mat#115,115,20260718,0.1957816756000383,0.32060835177215696,7,0.12482667617211865
2,simMed_test.mat,simMed_test.mat#115,115,20260719,0.04614784076607082,0.32060835177215696,7,0.27446051100608615
2,simMed_test.mat,simMed_test.mat#116,116,20260717,0.1342695444326155,0.5066170903210396,7,0.3723475458884241
2,simMed_test.mat,simMed_test.mat#116,116,20260718,0.1565806168178111,0.5066170903210396,7,0.35003647350322853
2,simMed_test.mat,simMed_test.mat#116,116,20260719,0.2580087882015085,0.5066170903210396,7,0.2486083021195311
2,simMed_test.mat,simMed_test.mat#117,117,20260717,0.09761138002572729,0.45551316155623667,7,0.3579017815305094
2,simMed_test.mat,simMed_test.mat#117,117,20260718,0.15166936696956598,0.45551316155623667,7,0.30384379458667066
2,simMed_test.mat,simMed_test.mat#117,117,20260719,0.24183035295908073,0.45551316155623667,7,0.21368280859715594
2,simMed_test.mat,simMed_test.mat#118,118,20260717,0.02658337713778171,0.4504456791897529,7,0.42386230205197123
2,simMed_test.mat,simMed_test.mat#118,118,20260718,0.09045232795417076,0.4504456791897529,7,0.3599933512355822
2,simMed_test.mat,simMed_test.mat#118,118,20260719,0.05150407522339673,0.4504456791897529,7,0.3989416039663562
2,simMed_test.mat,simMed_test.mat#12,12,20260717,0.015288852201179452,0.4734361105591037,7,0.45814725835792425
2,simMed_test.mat,simMed_test.mat#12,12,20260718,0.2094182997623875,0.4734361105591037,7,0.26401781079671616
2,simMed_test.mat,simMed_test.mat#12,12,20260719,0.11006024815160655,0.4734361105591037,7,0.36337586240749714
2,simMed_test.mat,simMed_test.mat#121,121,20260717,0.1464114071899433,0.5346232538667123,7,0.388211846676769
2,simMed_test.mat,simMed_test.mat#121,121,20260718,0.17211369866527235,0.5346232538667123,7,0.3625095552014399
2,simMed_test.mat,simMed_test.mat#121,121,20260719,0.247659701130122,0.5346232538667123,7,0.28696355273659024
2,simMed_test.mat,simMed_test.mat#122,122,20260717,0.0058097638364481875,0.4242558884693633,7,0.4184461246329151
2,simMed_test.mat,simMed_test.mat#122,122,20260718,0.28082827714848946,0.4242558884693633,7,0.14342761132087384
2,simMed_test.mat,simMed_test.mat#122,122,20260719,0.03965151373156678,0.4242558884693633,7,0.3846043747377965
2,simMed_test.mat,simMed_test.mat#123,123,20260717,0.16793770807112984,0.5488125241460786,7,0.3808748160749488
2,simMed_test.mat,simMed_test.mat#123,123,20260718,0.17372173547433123,0.5488125241460786,7,0.3750907886717474
2,simMed_test.mat,simMed_test.mat#123,123,20260719,0.2865446075543272,0.5488125241460786,7,0.2622679165917514
2,simMed_test.mat,simMed_test.mat#124,124,20260717,0.024401008113082417,0.39228787452803376,7,0.36788686641495133
2,simMed_test.mat,simMed_test.mat#124,124,20260718,0.2227454494336405,0.39228787452803376,7,0.16954242509439327
2,simMed_test.mat,simMed_test.mat#124,124,20260719,0.17167777465389142,0.39228787452803376,7,0.22061009987414235
2,simMed_test.mat,simMed_test.mat#125,125,20260717,0.007126776116611089,0.516709462743541,7,0.50958268662693
2,simMed_test.mat,simMed_test.mat#125,125,20260718,0.123924837063991,0.516709462743541,7,0.39278462567955
2,simMed_test.mat,simMed_test.mat#125,125,20260719,0.06986474533607566,0.516709462743541,7,0.44684471740746534
2,simMed_test.mat,simMed_test.mat#126,126,20260717,0.016758934143600555,0.5182255203795196,7,0.5014665862359191
2,simMed_test.mat,simMed_test.mat#126,126,20260718,0.18547882154055392,0.5182255203795196,7,0.3327466988389657
2,simMed_test.mat,simMed_test.mat#126,126,20260719,0.0912101759795088,0.5182255203795196,7,0.4270153444000108
2,simMed_test.mat,simMed_test.mat#127,127,20260717,0.14085322560487742,0.6061929855628675,7,0.46533975995799004
2,simMed_test.mat,simMed_test.mat#127,127,20260718,0.23268671026266885,0.6061929855628675,7,0.37350627530019864
2,simMed_test.mat,simMed_test.mat#127,127,20260719,0.2377372153131739,0.6061929855628675,7,0.36845577024969356
2,simMed_test.mat,simMed_test.mat#13,13,20260717,0.05549167859767021,0.6096375486494382,7,0.554145870051768
