pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,asset,image_index,item_id,method,method_family,train_asset,test_asset
0.01,0.32029478019658797,1.0,0.009998015661013845,23,65513,655,655,678,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9997603224227866,0.3103448275862069,0.0,58,65478,0,0,18,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9997593307417416,0.3103448275862069,1.527230520174715e-05,58,65478,1,1,19,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9993249812451468,0.7413793103448276,9.163383121048291e-05,58,65478,6,6,49,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9976298503119805,0.8793103448275862,0.0002901737988331959,58,65478,19,19,70,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.9513593971225873,0.9827586206896551,0.0009926998381135648,58,65478,65,65,122,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.7850188381511077,1.0,0.0029933718195424416,58,65478,196,196,254,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.40748437396180875,1.0,0.009988087601942638,58,65478,654,654,712,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.999698921473376,0.24561403508771928,0.0,57,65479,0,0,14,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.999696108589893,0.24561403508771928,1.5272071962003084e-05,57,65479,1,1,15,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9990470124794514,0.45614035087719296,9.163243177201851e-05,57,65479,6,6,32,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9961792637709678,0.5789473684210527,0.0002901693672780586,57,65479,19,19,52,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
