asset,comparator,pfa_target,n_items,target_pd_mean,comparator_pd_mean,mean_delta_pd,median_delta_pd,q05_delta_pd,min_delta_pd,max_delta_pd,bootstrap_ci95_low,bootstrap_ci95_high,wins,ties,losses,win_fraction,nonnegative_fraction,matched_sign_effect,one_sided_sign_p,bh_fdr_q_all_tests,positive_bootstrap_ci,significant_bh_0p05
combined,raw,0.0003,210,0.5261399631103596,0.2808969289153566,0.245243034195003,0.229020979020979,0.04545454545454536,-0.15000000000000002,0.7692307692307694,0.22545429890874114,0.26537129368585,200,5,5,0.9523809523809523,0.9761904761904762,0.9512195121951219,5.727697822814494e-53,5.154928040533045e-52,True,True
combined,raw,0.001,210,0.7028664531528074,0.37707533805908117,0.32579111509372616,0.3247518610421837,0.05554711246200618,-0.2,0.84,0.30262068637050116,0.3486835357881112,205,2,3,0.9761904761904762,0.9857142857142858,0.9711538461538461,3.6462809983143623e-57,5.742892572345121e-56,True,True
combined,raw,0.003,210,0.8130400711503218,0.48646260029395705,0.32657747085636485,0.3304597701149426,0.0,-0.10344827586206895,0.6799999999999999,0.3031757359226338,0.34979895079803225,198,9,3,0.9428571428571428,0.9857142857142858,0.9701492537313433,4.2117429630716986e-55,4.4223301112252835e-54,True,True
combined,raw,0.01,210,0.8677902575913439,0.6550724312569852,0.2127178263343586,0.20454545454545453,-0.060812390414961934,-0.2142857142857143,0.5925925925925926,0.19055982296877755,0.23456125884039342,188,3,19,0.8952380952380953,0.9095238095238095,0.8164251207729468,1.9093285496418127e-36,9.252899894418015e-36,True,True
combined,tpsscs_trainable_gate,1e-05,210,0.1845320530347855,0.09611760418569967,0.08841444884908586,0.07915622389306601,0.0,0.0,0.3043478260869565,0.08015412085434345,0.09707370747510326,193,17,0,0.919047619047619,1.0,1.0,7.965459555662261e-59,2.5091197600336123e-57,True,True
combined,tpsscs_trainable_gate,3e-05,210,0.23582166376780267,0.15616376675173585,0.07965789701606682,0.07999999999999999,-0.08044871794871802,-0.2083333333333334,0.3076923076923077,0.06738756552531994,0.09197656211165704,169,18,23,0.8047619047619048,0.8904761904761904,0.7604166666666666,5.919128498788191e-29,1.4916203816946242e-28,True,True
combined,tpsscs_trainable_gate,0.0001,210,0.36818669979187413,0.3116588041687341,0.05652789562314004,0.06897463002114167,-0.12169117647058826,-0.1666666666666667,0.47058823529411775,0.04331609921594659,0.07034560063233074,138,17,55,0.6571428571428571,0.7380952380952381,0.43005181347150256,1.0178380698200557e-09,1.3086489469115002e-09,True,True
combined,tpsscs_trainable_gate,0.0003,210,0.5261399631103596,0.5344817686526311,-0.008341805542271392,0.0,-0.20208333333333328,-0.35000000000000003,0.2666666666666667,-0.023338610903881986,0.006773473086959823,96,17,97,0.45714285714285713,0.5380952380952381,-0.0051813471502590676,1.0,1.0,False,False
combined,tpsscs_trainable_gate,0.001,210,0.7028664531528074,0.774403563373356,-0.07153711022054865,-0.05381274131274133,-0.25960729312762976,-0.45,0.14814814814814814,-0.08612624987904348,-0.0574092077108208,41,25,144,0.19523809523809524,0.3142857142857143,-0.5567567567567567,1.0,1.0,False,False
combined,tpsscs_trainable_gate,0.003,210,0.8130400711503218,0.8834424913814292,-0.07040242023110717,-0.04819976771196288,-0.23911290322580644,-0.4285714285714286,0.07407407407407407,-0.08225612913572652,-0.0595342099655422,8,42,160,0.0380952380952381,0.23809523809523808,-0.9047619047619048,1.0,1.0,False,False
