asset,item_id,image_index,target_count,tpsscs_auc,comparator_auc,comparator,delta_auc
simMed_test.mat,simMed_test.mat#9,9,23,0.6396706155316235,0.1396706155316235,raw,0.5
simMed_test.mat,simMed_test.mat#90,90,15,0.529048819182241,0.2184461246329151,raw,0.3106026945493259
simMed_test.mat,simMed_test.mat#91,91,46,0.5086676487896128,0.33030247685916586,raw,0.17836517193044693
simMed_test.mat,simMed_test.mat#92,92,61,0.5262870451331599,0.23529433366822158,raw,0.2909927114649383
simMed_test.mat,simMed_test.mat#93,93,63,0.42167267477760095,0.24935184813293945,raw,0.1723208266446615
simMed_test.mat,simMed_test.mat#94,94,20,0.3428106039306835,0.4142159058960253,raw,-0.07140530196534178
simMed_test.mat,simMed_test.mat#95,95,34,0.5881394786808191,0.17079990774120124,raw,0.4173395709396178
simMed_test.mat,simMed_test.mat#97,97,60,0.4600584958853792,0.3262167459902606,raw,0.1338417498951186
simMed_test.mat,simMed_test.mat#99,99,40,0.48779986930003516,0.19915593203601825,raw,0.28864393726401694
simWind_test.mat,simWind_test.mat#0,0,43,0.5242441805978726,0.2151291953339822,raw,0.30911498526389036
simWind_test.mat,simWind_test.mat#100,100,53,0.5407575701313653,0.29567990924983567,raw,0.2450776608815296
simWind_test.mat,simWind_test.mat#101,101,51,0.5534199790044853,0.4718701668821345,raw,0.08154981212235074
simWind_test.mat,simWind_test.mat#102,102,39,0.545472670375425,0.31654687449576246,raw,0.22892579587966255
simWind_test.mat,simWind_test.mat#104,104,25,0.6888020162261648,0.3916777746538915,raw,0.2971242415722733
simWind_test.mat,simWind_test.mat#105,105,26,0.6341967702585026,0.3094522111754105,raw,0.32474455908309213
simWind_test.mat,simWind_test.mat#107,107,49,0.4500025717170469,0.38375385996629974,raw,0.06624871175074715
simWind_test.mat,simWind_test.mat#108,108,25,0.5662313077355093,0.22849696628909366,raw,0.3377343414464157
simWind_test.mat,simWind_test.mat#11,11,58,0.5161524670078635,0.28534700024371207,raw,0.23080546676415148
simWind_test.mat,simWind_test.mat#110,110,63,0.48601209920597316,0.3367744869968566,raw,0.14923761220911658
simWind_test.mat,simWind_test.mat#111,111,43,0.42073290653770573,0.21566125917771103,raw,0.2050716473599947
simWind_test.mat,simWind_test.mat#112,112,47,0.5120293300210396,0.2273678231296777,raw,0.2846615068913618
simWind_test.mat,simWind_test.mat#113,113,14,0.4239808776952582,0.37122654716955594,raw,0.052754330525702275
simWind_test.mat,simWind_test.mat#114,114,36,0.5880843108400359,0.30525322296447416,raw,0.2828310878755617
simWind_test.mat,simWind_test.mat#115,115,22,0.45593204516850533,0.24450412835881852,raw,0.2114279168096868
simWind_test.mat,simWind_test.mat#116,116,27,0.5371988342064676,0.13455199807805174,raw,0.4026468361284159
simWind_test.mat,simWind_test.mat#117,117,56,0.46343027827338656,0.3550617740619399,raw,0.10836850421144667
simWind_test.mat,simWind_test.mat#118,118,57,0.45184077057782207,0.2654323898816709,raw,0.18640838069615118
simWind_test.mat,simWind_test.mat#12,12,57,0.4689832487307987,0.3506290930152441,raw,0.11835415571555463
simWind_test.mat,simWind_test.mat#121,121,37,0.5483428822025712,0.26567771914814003,raw,0.2826651630544312
simWind_test.mat,simWind_test.mat#122,122,15,0.45177945796624847,0.3972407355342635,raw,0.05453872243198499
simWind_test.mat,simWind_test.mat#123,123,42,0.5608988633943354,0.20834655712764846,raw,0.3525523062666869
simWind_test.mat,simWind_test.mat#124,124,25,0.41198282459096264,0.39259292446510496,raw,0.019389900125857673
simWind_test.mat,simWind_test.mat#125,125,59,0.488331616725008,0.4027550876502142,raw,0.0855765290747938
simWind_test.mat,simWind_test.mat#126,126,26,0.5307527159528487,0.3448552800554127,raw,0.18589743589743596
simWind_test.mat,simWind_test.mat#127,127,33,0.5532782317511521,0.42173400200084554,raw,0.13154422975030655
simWind_test.mat,simWind_test.mat#13,13,17,0.5704218623749285,0.2319622668329643,raw,0.33845959554196425
simWind_test.mat,simWind_test.mat#14,14,30,0.5742558884693633,0.3633989856391448,raw,0.21085690283021846
simWind_test.mat,simWind_test.mat#15,15,43,0.4718299218952356,0.30612578934452356,raw,0.16570413255071204
simWind_test.mat,simWind_test.mat#16,16,23,0.4912856789032201,0.4336462404290222,raw,0.05763943847419789
simWind_test.mat,simWind_test.mat#17,17,29,0.46134795944462104,0.41341779402486445,raw,0.04793016541975659
